condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,blur_sigma,layer,internal_frame_index,instantaneous_prediction_error_rms,dynamic_error_rms,clean_instantaneous_prediction_error_rms,clean_dynamic_error_rms,representation_normalized_l2
feedforward,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,0.0,4,1,2.7732070808574707,0.5740538719861132,2.7732070808574707,0.5740538719861132,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,0.0,5,1,1.2952079039165902,0.2681080388746785,1.2952079039165902,0.2681080388746785,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,0.0,1,1,0.2804893476654847,0.05806129561537742,0.2804893476654847,0.05806129561537742,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,0.0,2,1,0.5733367300830887,0.11868070442847181,0.5733367300830887,0.11868070442847181,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,0.0,3,1,1.7537182603361468,0.363019683834487,1.7537182603361468,0.363019683834487,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,0.0,4,1,2.7744705094973265,0.5743154018147147,2.7744705094973265,0.5743154018147147,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,0.0,5,1,1.323677853053924,0.2740013183829161,1.323677853053924,0.2740013183829161,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,0.0,1,1,0.27457748482147504,0.056837539988364806,0.27457748482147504,0.056837539988364806,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,0.0,2,1,0.5583657381162941,0.11558170905185526,0.5583657381162941,0.11558170905185526,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,0.0,3,1,1.723323272475969,0.3567279212581229,1.723323272475969,0.3567279212581229,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,0.0,4,1,2.7627142379851306,0.5718818534605669,2.7627142379851306,0.5718818534605669,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,0.0,5,1,1.2930783791030984,0.267667227319269,1.2930783791030984,0.267667227319269,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,0.0,1,1,0.2647837012458082,0.05481022676967117,0.2647837012458082,0.05481022676967117,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,0.0,2,1,0.549332009125194,0.11371172712592091,0.549332009125194,0.11371172712592091,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,0.0,3,1,1.7174824069073948,0.3555188620731017,1.7174824069073948,0.3555188620731017,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,0.0,4,1,2.83371693824153,0.5865794126093541,2.83371693824153,0.5865794126093541,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,0.0,5,1,1.321542248081186,0.27355924829740574,1.321542248081186,0.27355924829740574,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,0.0,1,1,0.261696052446142,0.054171083452873754,0.261696052446142,0.054171083452873754,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,0.0,2,1,0.5450300154622644,0.11282121444667378,0.5450300154622644,0.11282121444667378,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,0.0,3,1,1.7113508977081358,0.35424963971618056,1.7113508977081358,0.35424963971618056,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,0.0,4,1,2.815117213502837,0.5827292695211754,2.815117213502837,0.5827292695211754,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,0.0,5,1,1.3109688120805818,0.2713705472948647,1.3109688120805818,0.2713705472948647,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,0.0,1,1,0.2590735084059685,0.053628216834374826,0.2590735084059685,0.053628216834374826,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,0.0,2,1,0.5490493358732293,0.1136532137702575,0.5490493358732293,0.1136532137702575,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,0.0,3,1,1.6959758168540437,0.35106699793678636,1.6959758168540437,0.35106699793678636,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,0.0,4,1,2.823517031552043,0.5844680320413791,2.823517031552043,0.5844680320413791,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,0.0,5,1,1.2663401371395853,0.2621324112663567,1.2663401371395853,0.2621324112663567,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,0.0,1,1,0.25719996220120256,0.05324039276535796,0.25719996220120256,0.05324039276535796,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,0.0,2,1,0.5538481341854535,0.1146465650422831,0.5538481341854535,0.1146465650422831,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,0.0,3,1,1.7064856765164569,0.35324253887879137,1.7064856765164569,0.35324253887879137,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,0.0,4,1,2.8167908960420314,0.5830757218373901,2.8167908960420314,0.5830757218373901,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,0.0,5,1,1.275668253839928,0.26406333142786126,1.275668253839928,0.26406333142786126,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,0.0,1,1,0.26606658145216755,0.055075782969350534,0.26606658145216755,0.055075782969350534,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,0.0,2,1,0.5708163224856292,0.11815898005305218,0.5708163224856292,0.11815898005305218,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,0.0,3,1,1.7397055129817802,0.3601190450920043,1.7397055129817802,0.3601190450920043,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,0.0,4,1,2.8033889959872016,0.5803015285543616,2.8033889959872016,0.5803015285543616,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,0.0,5,1,1.2899899393123029,0.26702792037513295,1.2899899393123029,0.26702792037513295,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,0.0,1,1,0.2700734544003452,0.0559052056757869,0.2700734544003452,0.0559052056757869,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,0.0,2,1,0.5707420970455978,0.1181436153854354,0.5707420970455978,0.1181436153854354,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,0.0,3,1,1.7512358946318778,0.3625058340859471,1.7512358946318778,0.3625058340859471,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,0.0,4,1,2.786469269403539,0.5767991452333857,2.786469269403539,0.5767991452333857,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,0.0,5,1,1.252070735872083,0.259178645262247,1.252070735872083,0.259178645262247,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,0.0,1,1,0.26397271738807365,0.0546423531269113,0.26397271738807365,0.0546423531269113,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,0.0,2,1,0.5711850414376779,0.1182353048711903,0.5711850414376779,0.1182353048711903,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,0.0,3,1,1.742503089324669,0.3606981434279148,1.742503089324669,0.3606981434279148,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,0.0,4,1,2.8019104453192107,0.5799954686367785,2.8019104453192107,0.5799954686367785,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,0.0,5,1,1.2676827391590455,0.26241032990102986,1.2676827391590455,0.26241032990102986,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,0.0,1,1,0.2675703815215254,0.05538706958462126,0.2675703815215254,0.05538706958462126,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,0.0,2,1,0.5678719629888423,0.11754949763224444,0.5678719629888423,0.11754949763224444,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,0.0,3,1,1.7449762145152288,0.36121008034576135,1.7449762145152288,0.36121008034576135,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,0.0,4,1,2.777616884005767,0.5749667013612093,2.777616884005767,0.5749667013612093,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,0.0,5,1,1.225788797234232,0.2537382838343719,1.225788797234232,0.2537382838343719,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,0.0,1,1,0.26219368329217657,0.054274093050964096,0.26219368329217657,0.054274093050964096,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,0.0,2,1,0.557445080913292,0.11539113300868979,0.557445080913292,0.11539113300868979,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,0.0,3,1,1.7032002504962485,0.3525624557280908,1.7032002504962485,0.3525624557280908,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,0.0,4,1,2.690879788582646,0.5570121223262158,2.690879788582646,0.5570121223262158,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,0.0,5,1,1.1539298272846843,0.23886347689620688,1.1539298272846843,0.23886347689620688,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,0.0,1,1,0.26283722404306775,0.05440730598708482,0.26283722404306775,0.05440730598708482,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,0.0,2,1,0.5551708985843007,0.11492037727710346,0.5551708985843007,0.11492037727710346,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,0.0,3,1,1.6916022298838644,0.35016166537312166,1.6916022298838644,0.35016166537312166,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,0.0,4,1,2.6812256175048157,0.5550137090158748,2.6812256175048157,0.5550137090158748,0.0
feedforward,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,0.0,5,1,1.151531851117974,0.23836709578019113,1.151531851117974,0.23836709578019113,0.0
