sequence,condition,frame,raw_error_rms,encoded_error_rms,update_gain_mean,update_gain_std,state_innovation_rms,hidden_rms,delta_z4_rms,oracle_residual_rms,direction_cosine,alpha,amplitude_ratio,hidden_error_cosine,state_projection_oracle_cosine,prediction_recovery_fraction,nohistory_direction_cosine,nohistory_alpha,nohistory_amplitude_ratio
0002,Blur-Mid,23,0.015468355268239975,0.0028606404084712267,0.4280838072299957,0.034926291555166245,0.0006469739018939435,0.0013090941356495023,4.609746974892914e-05,0.014611151069402695,0.10634872317314148,0.00033552508102729917,0.0031549512786478644,0.017473965883255005,-0.005255642347037792,0.6232201511755324,0.08662401139736176,0.00013929710257798433,0.00160806599152321
0002,Blur-Max,23,0.018328985199332237,0.003436508122831583,0.4277655780315399,0.035042617470026016,0.0008045276044867933,0.0013439042959362268,4.670647467719391e-05,0.01774705946445465,0.11993623524904251,0.00031564661185257137,0.002631786678279953,0.01950222998857498,-0.006502959877252579,0.744610085236592,0.09120380878448486,0.00014604344323743135,0.0016012863572812104
0002,Blur-Mid,24,0.009396553970873356,0.0016581225208938122,0.42798012495040894,0.034977324306964874,0.0003288430452812463,0.001369173638522625,4.8092268116306514e-05,0.013857721351087093,0.10550718009471893,0.00036615540739148855,0.0034704311695900733,-0.006423561368137598,-0.003175809048116207,-0.26864671048184685,0.0558757558465004,4.79983827972319e-05,0.0008590197268208889
0002,Blur-Max,24,0.009826408699154854,0.001740292296744883,0.4275822043418884,0.03513446822762489,0.0003438565763644874,0.0013979566283524036,4.8724621592555195e-05,0.01700170338153839,0.12002566456794739,0.00034397761919535697,0.0028658670545601748,-0.007507489528506994,-0.00352927902713418,-0.17611700577751366,0.05670430511236191,4.102606908418238e-05,0.0007235089174959629
0002,Blur-Mid,25,0.010760593228042126,0.0018869807245209813,0.42809852957725525,0.03492385149002075,0.00038416264578700066,0.0014104150468483567,4.9127211241284385e-05,0.014094858430325985,0.1140405684709549,0.00039748504059389234,0.003485470356735479,-0.011733594350516796,-0.011083053424954414,-0.41182309785749616,0.05156769976019859,5.183120083529502e-05,0.0010051098864097164
0002,Blur-Max,25,0.010887864045798779,0.0019237272208556533,0.4276551902294159,0.03510722145438194,0.00039390777237713337,0.0014503864804282784,5.022566256229766e-05,0.017646512016654015,0.1298123300075531,0.00036947306944057345,0.0028462090703758824,-0.01344490796327591,-0.009772997349500656,-0.2003624247296698,0.05307354778051376,4.299528882256709e-05,0.0008101076882885019
0002,Blur-Mid,26,0.009839974343776703,0.0017279967432841659,0.42850223183631897,0.03473719581961632,0.0003596740134526044,0.001430054078809917,4.9772563215810806e-05,0.013566829264163971,0.10764731466770172,0.00039492518408223987,0.0036686953337934517,-0.014095508493483067,-0.009305937215685844,-0.5010881984701971,0.024819180369377136,2.2747452021576464e-05,0.0009165272507997722
0002,Blur-Max,26,0.009883947670459747,0.0017540823901072145,0.4279956519603729,0.03494047001004219,0.0003671723825391382,0.0014730618568137288,5.082655479782261e-05,0.017423750832676888,0.12874051928520203,0.0003755469515454024,0.0029170845752971492,-0.0131540447473526,-0.011017711833119392,-0.28039626991135136,0.0284681748598814,2.038909042312298e-05,0.0007162064706604339
0002,Blur-Mid,27,0.00876998994499445,0.001540923723950982,0.4284866750240326,0.03475207835435867,0.0003250939480494708,0.00147813162766397,5.1858191000064835e-05,0.01327599212527275,0.12115190923213959,0.0004732391389552504,0.0039061631334765066,-0.01804395392537117,-0.0094286585226655,-0.21342983532865034,0.05966506153345108,5.2592720749089494e-05,0.0008814659899661087
0002,Blur-Max,27,0.009291909635066986,0.0016478451434522867,0.4281785786151886,0.03486552834510803,0.0003554906288627535,0.0015195015585049987,5.275091098155826e-05,0.01699698716402054,0.13901051878929138,0.00043142534559592605,0.003103544791351148,-0.02049277164041996,-0.01153801754117012,-0.13811490417767902,0.04473647475242615,3.3510754292365164e-05,0.0007490701835403281
0002,Blur-Mid,28,0.008903713896870613,0.0015785227296873927,0.4285889267921448,0.034708354622125626,0.0003281325043644756,0.0015468915225937963,5.4169642680790275e-05,0.012850871309638023,0.11998116970062256,0.0005057506496086717,0.004215250575279171,-0.014411336742341518,-0.011398300528526306,-0.23405306524905556,0.05251901596784592,4.7788558731554076e-05,0.0009099287306615102
0002,Blur-Max,28,0.00931424181908369,0.001659831847064197,0.428254097700119,0.034836120903491974,0.0003545243525877595,0.0015898499405011535,5.4941923735896125e-05,0.016424817964434624,0.1341853141784668,0.0004488572885747999,0.0033450552605736195,-0.012400908395648003,-0.018725305795669556,-0.13516050198357243,0.052850112318992615,3.971789556089789e-05,0.0007515195650396115
0002,Blur-Mid,29,0.009519970044493675,0.0016823627520352602,0.4280889332294464,0.03494018316268921,0.00034598520142026246,0.0016011213883757591,5.5562697525601834e-05,0.013728209771215916,0.11849462985992432,0.00047958779032342136,0.004047337449789028,0.0034075353760272264,-0.02124427631497383,-0.017435312594344943,0.08251824229955673,7.18589435564354e-05,0.0008708248889771978
0002,Blur-Max,29,0.009703565388917923,0.0017448071157559752,0.4276109039783478,0.03512951731681824,0.00036512466613203287,0.0016358731081709266,5.6610901083331555e-05,0.017075859010219574,0.14223738014698029,0.00047155373613350093,0.0033152593406546057,0.014888123609125614,-0.020283352583646774,0.007581958049998838,0.09386990964412689,6.949736416572705e-05,0.0007403583417066338
0002,Blur-Mid,30,0.008362524211406708,0.0014759573386982083,0.4283933639526367,0.03480706736445427,0.0003062514588236809,0.0016307212645187974,5.6473963923053816e-05,0.013379636220633984,0.12133127450942993,0.0005121259018778801,0.00422088934196582,-0.015904635190963745,-0.01349312998354435,-0.25622124707989746,0.05009926110506058,4.027990507893264e-05,0.0008040020567918615
0002,Blur-Max,30,0.008788402192294598,0.0015829167095944285,0.42775392532348633,0.03507251292467117,0.0003315493231639266,0.0016774761024862528,5.80059495405294e-05,0.016992025077342987,0.14718005061149597,0.000502430833876133,0.0034137160977871913,-0.015232602134346962,-0.017740486189723015,-0.10754324489390865,0.048550356179475784,3.302607365185395e-05,0.0006802437078577431
0002,Blur-Mid,31,0.008478526026010513,0.0014968086034059525,0.42860519886016846,0.03469887375831604,0.0003178375191055238,0.0016827434301376343,5.806457556900568e-05,0.013498897664248943,0.12007690966129303,0.0005165025359019637,0.004301430902968202,-0.009385686367750168,-0.011100655421614647,-0.2707262691182295,0.04943813383579254,3.972871490987018e-05,0.0008036047932938402
0002,Blur-Max,31,0.009128511883318424,0.0016185842687264085,0.42804864048957825,0.0349322110414505,0.00034842564491555095,0.0017081353580579162,5.8977304433938116e-05,0.01698947325348854,0.14246076345443726,0.0004945386899635196,0.0034714027653463585,-0.008519455790519714,-0.013611744157969952,-0.20294270701256378,0.023586001247167587,1.6314843378495425e-05,0.0006917172723566558
0002,Blur-Mid,32,0.00824849121272564,0.0014656411949545145,0.4284628629684448,0.034752897918224335,0.0002961890713777393,0.0017305021174252033,5.94239572819788e-05,0.01405157707631588,0.12964436411857605,0.0005482645938172936,0.004228988458679039,0.00023507524747401476,-0.01836293935775757,-0.07905977709157774,0.061932388693094254,4.722697485703975e-05,0.0007625569135574809
0002,Blur-Max,32,0.008676383644342422,0.0015572791453450918,0.42780864238739014,0.035028040409088135,0.0003202629159204662,0.0017735928995534778,6.077056968933903e-05,0.01770336553454399,0.15482550859451294,0.0005314715090207756,0.003432712812191525,0.007417083717882633,-0.02131403610110283,0.007747948513914027,0.07350347191095352,4.867309326073155e-05,0.0006621876572294454
0002,Blur-Mid,33,0.0084787392988801,0.001516926335170865,0.42819035053253174,0.03488878533244133,0.0003160013584420085,0.0017795314779505134,6.082400068407878e-05,0.014304417185485363,0.13294774293899536,0.0005653087864629924,0.004252113168636934,0.0028775190003216267,-0.01264509279280901,-0.08330739895120787,0.0734907016158104,5.668862286256626e-05,0.0007713713724345998
0002,Blur-Max,33,0.00914411898702383,0.0016513547161594033,0.4273416996002197,0.03525962308049202,0.0003531989932525903,0.0018212158465757966,6.228352140169591e-05,0.018239406868815422,0.14866431057453156,0.0005076555535197258,0.0034147777857943566,0.013105346821248531,-0.017578059807419777,-0.005662402695907343,0.06716300547122955,4.577410072670318e-05,0.0006815374572223606
0002,Blur-Mid,34,0.008375673554837704,0.0014906958676874638,0.428344190120697,0.03482261300086975,0.00031357735861092806,0.00183503283187747,6.277559441514313e-05,0.01424152497202158,0.14146937429904938,0.0006235866458155215,0.004407926436141491,-0.012428538873791695,-0.013693193905055523,-0.19264759640272056,0.04334115982055664,3.319442112115212e-05,0.0007658868180411152
0002,Blur-Max,34,0.008933939039707184,0.0015927046770229936,0.4277202785015106,0.035094406455755234,0.0003348979807924479,0.0018554391572251916,6.341960397548974e-05,0.017440197989344597,0.14858996868133545,0.0005403331015259027,0.0036364038994418004,-0.014799586497247219,-0.01776011846959591,-0.20038281958373627,0.03315770626068115,2.2271968191489577e-05,0.0006716980698271733
0002,Blur-Mid,35,0.00773058645427227,0.0013688619947060943,0.42833900451660156,0.03482583537697792,0.00028260357794351876,0.001897434121929109,6.464083708124235e-05,0.013920954428613186,0.136686772108078,0.0006346941227093339,0.004643419918707536,-0.0018896623514592648,-0.020059598609805107,-0.12878281874525954,0.08289847522974014,5.814031828776933e-05,0.0007013437068845442
0002,Blur-Max,35,0.008111586794257164,0.0014547680038958788,0.4277759790420532,0.035071082413196564,0.0003133562277071178,0.0019085868261754513,6.478000432252884e-05,0.016978545114398003,0.1354416012763977,0.0005167643539607525,0.0038154037278255747,0.0002842177636921406,-0.02152683027088642,-0.08604161812174893,0.05969911813735962,3.7401769077405334e-05,0.0006265045252757813
0002,Blur-Mid,36,0.00839010439813137,0.0014828101266175508,0.42847174406051636,0.03476729243993759,0.00031270223553292453,0.00193028524518013,6.560418114531785e-05,0.013325005769729614,0.1481332778930664,0.0007293177186511457,0.004923388573260563,-0.0056190164759755135,-0.02088792994618416,-0.2902468049115112,0.055132120847702026,4.5226741349324584e-05,0.0008203338336991292
0002,Blur-Max,36,0.008479750715196133,0.0015217683976516128,0.42785558104515076,0.035031381994485855,0.00032319437013939023,0.0019419888267293572,6.603462679777294e-05,0.01670178771018982,0.14249825477600098,0.0005634018452838063,0.003953746026689405,-0.004794325213879347,-0.02260114997625351,-0.1223120534521902,0.048840392380952835,3.292023757239804e-05,0.0006740371491645649
0002,Blur-Mid,37,0.008248143829405308,0.0014625540934503078,0.42842110991477966,0.03478411212563515,0.0003029374638572335,0.001980040455237031,6.708486034767702e-05,0.013963029719889164,0.1771380752325058,0.0008510532206855714,0.004804463049456972,-0.002962307306006551,-0.02116575837135315,-0.13841165262573996,0.08515583723783493,6.436873809434474e-05,0.000755893487590018
