model,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,representation_normalized_l2
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,3,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,4,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,16,baseline,16,16,0000000016.png,5,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,1,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,2,0.0
frozen_vgg16,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,17,baseline,17,17,0000000017.png,3,0.0
