drive,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,persistence_score,forward_mae_m,yaw_mae_rad,mean_future_blur_sigma,clean_persistence_score,persistence_score_excess_over_clean,clean_forward_mae_m,clean_yaw_mae_rad,forward_mae_degradation_m,yaw_mae_degradation_rad
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,0,0,8,-0.19080600421875715,0.16560294851660728,0.022173070814460516,0.75,-0.13850022293627262,-0.05230578128248453,0.17922906205058098,0.020257344003766775,-0.013626113533973694,0.0019157268106937408
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,1,8,16,-0.14439951395615935,0.1768350750207901,0.02401593653485179,0.75,-0.11989801283925772,-0.024501501116901636,0.18278007954359055,0.02471963409334421,-0.0059450045228004456,-0.0007036975584924221
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,2,16,24,-0.18499107379466295,0.16946835070848465,0.020305617479607463,1.125,-0.170837190002203,-0.014153883792459965,0.16541700810194016,0.02547515695914626,0.004051342606544495,-0.005169539479538798
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,3,24,32,-0.16171870927792042,0.1550009436905384,0.005340469942893833,1.5,-0.17478450015187263,0.01306579087395221,0.1292802132666111,0.01825385307893157,0.025720730423927307,-0.012913383136037737
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,4,32,40,-0.14217992406338453,0.14188651740550995,0.0070265240501612425,1.5,-0.1690838821232319,0.026903958059847355,0.14052680879831314,0.004918642807751894,0.0013597086071968079,0.0021078812424093485
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,5,40,48,-0.16166955884546041,0.1489255465567112,0.01581595919560641,2.25,-0.0985110211186111,-0.06315853772684932,0.181673776358366,0.0033321091905236244,-0.032748229801654816,0.012483850005082786
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,6,48,56,-0.10670128557831049,0.12980569526553154,0.020351708633825183,2.25,-0.032826286857016385,-0.0738749987212941,0.1641913540661335,0.008697280660271645,-0.03438565880060196,0.011654427973553538
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,7,56,64,-0.095572782040108,0.0934947244822979,0.02591035864315927,2.625,-0.08953315985854715,-0.006039622181560844,0.09383781626820564,0.018893282511271536,-0.00034309178590774536,0.007017076131887734
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,8,64,72,-0.06664610747247934,0.031157903373241425,0.027722599683329463,3.0,-0.10838320106267929,0.04173709359019995,0.05127889662981033,0.02825573179870844,-0.02012099325656891,-0.0005331321153789759
2011_09_26/2011_09_26_drive_0005_sync,persistent_blur,0,9,72,80,-0.0009236683836206794,0.00768028199672699,0.023873810190707445,3.0,-0.10606945911422372,0.10514579073060304,0.03941194713115692,0.03711269982159138,-0.03173166513442993,-0.013238889630883932
