condition,epoch,split,feature_mse,copy_mse,prediction_base_mse,feature_cosine,normalized_feature_error,weighted_loss,optimized_loss
copy_current,1,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,3.1630481115353652,3.3020030735364925
copy_current,1,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.05491363385628,3.114993734606381
copy_current,2,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.8987461538875805,3.037701115109562
copy_current,2,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.05173138400604,3.111811484756141
copy_current,3,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.708100538627774,2.8470555006289016
copy_current,3,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.0705400499804267,3.1306201507305276
copy_current,4,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.574317032215642,2.7132719942167696
copy_current,4,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.08898030992212,3.149060411699887
copy_current,5,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.474070606668011,2.6130255710065753
copy_current,5,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.107894631295369,3.167974733073136
copy_current,6,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.3829166445077634,2.521871612742056
copy_current,6,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.1220524845452142,3.182132586322982
copy_current,7,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.297822639053943,2.436777609625673
copy_current,7,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.1348227077517015,3.1949028085018027
copy_current,8,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.2163936195809857,2.355348588594424
copy_current,8,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.138233880544531,3.1983139823222984
copy_current,9,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.144047419230143,2.283002388243582
copy_current,9,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.1540044566680647,3.2140845574181656
copy_current,10,train,0.13895498284327437,0.13895498284327437,0.13895498284327437,0.8361364388777539,0.5717023318889094,2.0845067797143475,2.2234617495069315
copy_current,10,val,0.06008009948157545,0.06008009948157545,0.06008009948157545,0.9199046911350612,0.37576610893653384,3.1591038950558366,3.219183996833604
historical_warp,1,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,3.1630481115353652,3.292768610848321
historical_warp,1,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.05491363385628,3.1148621028867263
historical_warp,2,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.8987461538875805,3.028466655537973
historical_warp,2,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.05173138400604,3.111679853036486
historical_warp,3,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.708100538627774,2.8378210480696238
historical_warp,3,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.0705400499804267,3.1304885179832063
historical_warp,4,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.574317032215642,2.70403753464518
historical_warp,4,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.08898030992212,3.1489287779248993
historical_warp,5,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.474070606668011,2.6037911114349863
historical_warp,5,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.107894631295369,3.1678430992981483
historical_warp,6,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.3829166445077634,2.5126371508330303
historical_warp,6,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.1220524845452142,3.182000952547994
historical_warp,7,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.297822639053943,2.427543144600064
historical_warp,7,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.1348227077517015,3.1947711757544814
historical_warp,8,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.2163936195809857,2.346114125127107
historical_warp,8,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.138233880544531,3.1981823506026434
historical_warp,9,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.144047419230143,2.273767923217973
historical_warp,9,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.1540044566680647,3.2139529256985107
historical_warp,10,train,0.129720509807074,0.13895498284327437,0.129720509807074,0.8450381261071348,0.5529066244371577,2.0845067797143475,2.2142272852604687
historical_warp,10,val,0.05994846219104586,0.06008009948157545,0.05994846219104586,0.9199084256743563,0.3749474445036773,3.1591038950558366,3.2190523630586165
warp_residual,1,train,0.132374864266394,0.13895498284327437,0.129720509807074,0.840962290763855,0.558861564382229,3.1630481115353652,3.295422977871365
