method,causal,split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,radius_cells,radius_input_pixels,patch_size,copy_mse,result_mse,copy_minus_result_mse,copy_minus_result_over_copy,matching_patch_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,coverage_fraction,collision_fraction
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,5,0000000003.png,0000000004.png,0000000005.png,stage5,512,14,14,16,1,0.1035,2,32,3,0.07182876020669937,0.06864535063505173,0.003183409571647644,0.044319428503513336,0.05856403708457947,0.25,0.2551020383834839,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.23621433973312378,0.1292913407087326,0.10692299902439117,0.4526524543762207,0.1292913556098938,0.7908163070678711,0.9218430519104004,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.2087169736623764,0.10598158836364746,0.10273538529872894,0.49222344160079956,0.10598158836364746,0.8571428656578064,0.9099762439727783,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.1635478287935257,0.09850769490003586,0.06504013389348984,0.39768263697624207,0.09850769490003586,0.84183669090271,0.8883301019668579,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,7,0000000003.png,0000000004.png,0000000007.png,stage5,512,14,14,16,3,0.3105,1,16,1,0.13099807500839233,0.08057757467031479,0.050420500338077545,0.3848949670791626,0.08057758212089539,0.8163264989852905,0.8607065677642822,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.23621433973312378,0.15147799253463745,0.08473634719848633,0.35872650146484375,0.13229617476463318,0.7908163070678711,0.9070496559143066,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,1,1,2,5,0000000001.png,0000000002.png,0000000005.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.2087169736623764,0.13097690045833588,0.07774007320404053,0.37246647477149963,0.10778870433568954,0.795918345451355,0.8107117414474487,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,2,2,3,6,0000000002.png,0000000003.png,0000000006.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.1635478287935257,0.1121179610490799,0.0514298677444458,0.3144637644290924,0.0956539735198021,0.7653061151504517,0.7843261361122131,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,3,3,4,7,0000000003.png,0000000004.png,0000000007.png,stage5,512,14,14,16,3,0.3105,1,16,3,0.13099807500839233,0.09538815915584564,0.03560991585254669,0.27183541655540466,0.07822345942258835,0.6938775181770325,0.7107841968536377,1.0,0.0
local_future_matching,False,train,2011_09_26/2011_09_26_drive_0005_sync,image_02,0,0,1,4,0000000000.png,0000000001.png,0000000004.png,stage5,512,14,14,16,3,0.3105,2,32,1,0.23621433973312378,0.10845425724983215,0.12776008248329163,0.5408650636672974,0.10845425724983215,0.8214285373687744,1.2716699838638306,1.0,0.0
