condition,effective_frames,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_gate_channel_std,mean_gate_spatial_std,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,trainable_params,wIoU
Clean,453,True,11.119231217929471,0,0,0.5459401806927648,0.9538495725593973,0.9538009584361451,,,,,0.0,0.0,453,old,503,2598080,0.8714991894192574
Clean,453,True,11.119231217929471,453,0,0.5492699024003885,0.9555413683047774,0.9549442873588264,0.001208346919156611,0.0023620733991265297,0.0,0.0009104346972890198,0.0,0.0,453,full-explicit,503,2557378,0.8710221102215272
Clean,453,True,11.119231217929471,453,0,0.5490209417413188,0.9555973042930808,0.9549813402869071,0.0012492608511820436,0.0022692822385579348,0.0,0.0008807308622635901,0.0,0.0,453,full-residual,503,2770882,0.8710264230004641
Blur-Mid,453,True,11.19755206298791,0,0,0.48280485210170365,0.8907991729709098,0.9154329696140813,,,,,0.0,0.0,453,old,503,2598080,0.8284134200213157
Blur-Mid,453,True,11.19755206298791,453,0,0.4768276643156766,0.9133195482153167,0.9277312251045781,0.001997696701437235,0.0038954673800617456,0.0,0.0007476595346815884,0.0,0.0,453,full-explicit,503,2557378,0.8321958520654913
Blur-Mid,453,True,11.19755206298791,453,0,0.4764818161780205,0.9128458141227658,0.9275700380604952,0.0020656422711908817,0.0037426233757287264,0.0,0.0007215062505565584,0.0,0.0,453,full-residual,503,2770882,0.8321665232526179
Blur-Max,453,True,11.299627977975286,0,0,0.43420479701447356,0.8064827102426524,0.8589414134390642,,,,,0.0,0.0,453,old,503,2598080,0.7726680333991189
Blur-Max,453,True,11.299627977975286,453,0,0.432094002806282,0.857096568292953,0.8919672986819193,0.0021064660977572203,0.004106689710170031,0.0,0.0007594202761538327,0.0,0.0,453,full-explicit,503,2557378,0.792656607351099
Blur-Max,453,True,11.299627977975286,453,0,0.43192118222308695,0.8559830974717965,0.8912781527593913,0.0021782447583973408,0.003945742268115282,0.0,0.0007324919570237398,0.0,0.0,453,full-residual,503,2770882,0.7923300827465367
