condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,representation_normalized_l2,corruption
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,5,0.6567811938866205,0.6427066317649963,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,1,0.7870520429025453,0.49048753861445726,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,2,0.5706866611297183,0.408611874782563,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,3,0.6034776561139182,0.6587570230138843,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,4,1.0686766892926978,1.2223842620013412,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,5,0.6097610423639901,0.620162471968312,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,1,0.7637912925817557,0.47465611679515324,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,2,0.5672342719114338,0.42667434689535544,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,3,0.5700611760178149,0.6129773838931648,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,4,0.9678547758527414,1.1366551893623393,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,5,0.5727921446376896,0.5926302616936658,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,1,0.7488989490343284,0.451273418661347,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,2,0.5617564625252884,0.440810303154213,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,3,0.548520523523142,0.5714457460979299,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,4,0.8950472691275809,1.0506191160172464,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,5,0.5435007884508936,0.563746897634605,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,1,0.7725571452442455,0.4201502657238179,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,2,0.5576793212678278,0.45164877523058883,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,3,0.530839541446361,0.5353873746321296,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,4,0.844325411332684,0.9703171365693777,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,5,0.5202400742103307,0.5360867728341022,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,1,0.7542432340638697,0.4049505793671254,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,2,0.556641954037222,0.46022590799978347,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,3,0.5121321152917806,0.5041779763647571,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,4,0.8065007080052802,0.8988026751116482,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,11,baseline,11,11,0000000011.png,5,0.5007834988220913,0.5109943905091728,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,1,0.725732909103041,0.3955011327409163,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,2,0.5650076081396872,0.4683452956712974,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,3,0.5078820040362189,0.47861071692066137,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,4,0.7802311512069375,0.8374885858206396,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,12,baseline,12,12,0000000012.png,5,0.48403319998612543,0.4888854825807972,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,1,0.711798499346534,0.3875350152581728,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,2,0.5670894750347748,0.4756638208665266,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,3,0.5137088224157484,0.45992078081985494,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,4,0.765414489085778,0.7871685256987063,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,13,baseline,13,13,0000000013.png,5,0.46963126147785694,0.4699934773493427,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,1,0.6909887927599997,0.3799074945107714,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,2,0.5652734906896508,0.48173370832590834,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,3,0.5183544345820444,0.44800435097398983,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,4,0.7568957279539593,0.747568727074283,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,14,baseline,14,14,0000000014.png,5,0.45691112438427345,0.45399189176631105,0.0,gaussian_noise
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,15,baseline,15,15,0000000015.png,1,0.678321996345838,0.3681048701690285,0.0,gaussian_noise
