condition,stage_a,effective_frame_count,observation_mse,state_recovery,state_direction_cosine,continuous_feature_recovery,nohistory_feature_recovery,zeroerror_feature_recovery,restoration_direction_cosine,amplitude_ratio,temporal_feature_gain,error_contribution,early_hidden_rms,middle_hidden_rms,final_hidden_rms,hidden_growth_ratio,continuous_projection_scale,nohistory_direction_cosine,zeroerror_direction_cosine,prediction_error_rms,encoded_error_rms
Blur-Mid,NO-GO,710,0.00025763352334738746,-1.3314626898939363,0.0,0.14455928570770737,0.12223934020614324,0.14455914975073103,0.4783377311599087,0.19131148219045016,0.022052894459252487,1.1973140118702265e-07,0.257720023393631,0.26095613837242126,0.26095613837242126,1.012556707609201,0.09167627958239803,0.4673574167238155,0.47833741920095096,0.008308173467169031,0.001327862625352999
Blur-Max,NO-GO,710,0.0003495861514648554,-0.9176742204030173,0.0,0.14524049587089893,0.11207699629969525,0.14524039016400447,0.49969108625197073,0.17745825529508766,0.0327306975341469,9.499644299471815e-08,0.2581307291984558,0.2619560956954956,0.2619560956954956,1.014819492855106,0.08884928678752671,0.482090878360708,0.4996908383470186,0.008370877370815462,0.0013397477971370214
