condition,corruption,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,2,1.3475883508903106,0.5505296263546442,1.6775606870651245,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,3,2.3968937686191123,0.9791323595162645,5.510636806488037,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,4,3.103117493745524,1.3979939947078037,9.592714309692383,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,6,baseline,6,6,0000000006.png,5,1.370055644330752,0.760582676933204,1.8795044422149658,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,1,0.7675192314741427,0.35299661743468985,0.6059691905975342,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,2,1.295206849624592,0.5400383736926548,1.653725266456604,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,3,2.3474745308013887,0.9781193142964114,5.446713924407959,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,4,3.097210813083066,1.4359300357918585,10.041815757751465,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,7,baseline,7,7,0000000007.png,5,1.3709501873907648,0.7995984106374319,2.0023820400238037,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,1,0.7784402372891525,0.3420723990711198,0.5903835296630859,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,2,1.2859724894418714,0.5255331962791955,1.5928105115890503,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,3,2.333819655423036,0.9773704245976469,5.315553665161133,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,4,3.168882436885935,1.487508490651674,9.681227684020996,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,8,baseline,8,8,0000000008.png,5,1.4150555154948976,0.8433038235574374,2.0085136890411377,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,1,0.76836422505374,0.3298210864887608,0.6255473494529724,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,2,1.2620660067855896,0.5097832907494697,1.6438021659851074,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,3,2.305548453092763,0.9713250883099028,5.383767604827881,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,4,3.1114672054830956,1.5216558583677229,9.622576713562012,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,9,baseline,9,9,0000000009.png,5,1.4172203805891364,0.8852685711130442,1.9021185636520386,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,1,0.7909154887019711,0.30626882731276545,0.5906563997268677,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,2,1.2821085530003675,0.4931569091983763,1.7406399250030518,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,3,2.3202947807995415,0.9588741432029143,5.571962833404541,0.0
temporal_only,gaussian_blur,2011_09_26/2011_09_26_drive_0011_sync,10,baseline,10,10,0000000010.png,4,3.102027881539111,1.539549646589733,9.73322582244873,0.0
