drive,corruption,condition,replicate,window_index,disturbance_start_index,disturbance_stop_index_exclusive,classification_label,mean_future_severity,instant_error_rms,simple_scalar_ema_error_rms,dynamic_error_state_rms,matched_tensor_ema_error_rms
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,1,8,16,1,1.0,0.5522947790391424,0.5743758997985556,0.2227080991574352,0.2227080991574352
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,2,16,24,1,0.625,0.6496177973687669,0.5940846564236354,0.23766334955215368,0.23766334955215368
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,3,24,32,1,0.25,0.7286296600695036,0.7037881215678836,0.24766530649039015,0.24766530649039015
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,4,32,40,1,0.25,0.762688511992873,0.7508408629398156,0.2552302616922979,0.2552302616922979
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,5,40,48,1,0.5,0.5895617020062418,0.6623455522763042,0.23783353448741673,0.23783353448741673
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,6,48,56,1,0.5,0.5910076524749123,0.5926743004081725,0.25370132127677764,0.25370132127677764
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,7,56,64,1,0.625,0.5888098064365681,0.6007786134105373,0.2645032350358521,0.2645032350358521
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,8,64,72,1,0.75,0.4420958748478174,0.5003005810363712,0.24649195575964752,0.24649195575964752
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,3,9,72,80,1,0.75,0.4172957450843888,0.4277512903321219,0.24146500380791056,0.24146500380791056
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,0,0,8,0,0.59375,0.958230692517182,0.9617711893733648,0.23195769998981908,0.23195769998981908
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,1,8,16,0,0.75,0.6620944927281629,0.7673486204477199,0.2240118778382225,0.2240118778382225
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,2,16,24,0,0.6875,0.8370832333362808,0.7779116111194497,0.2214185753700315,0.2214185753700315
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,3,24,32,0,0.5,0.8190457910760551,0.8053826064836771,0.23628750835706558,0.23628750835706558
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,4,32,40,0,0.625,1.023591243075919,0.9450247465148269,0.24375838619718299,0.24375838619718299
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,5,40,48,0,0.6875,0.6961940415243397,0.7971792583314207,0.23442026732067103,0.23442026732067103
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,6,48,56,0,0.59375,0.7652595009596864,0.7637915355073929,0.2508197556954699,0.2508197556954699
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,7,56,64,0,0.53125,0.8844024740913473,0.8609879969680794,0.2768162316230693,0.2768162316230693
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,8,64,72,0,0.78125,0.6143864668011786,0.7205971317422463,0.24394774755542337,0.24394774755542337
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,0,9,72,80,0,0.5,0.7168111657394775,0.7040648530461932,0.24423309314022829,0.24423309314022829
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,0,0,8,0,0.46875,0.8507283009548181,0.8770560895904004,0.23086714118065746,0.23086714118065746
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,1,8,16,0,0.75,0.7478362241452229,0.8327361430579515,0.22786946457267354,0.22786946457267354
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,2,16,24,0,0.5625,0.8687304099931636,0.8190894481202972,0.2256397127149612,0.2256397127149612
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,3,24,32,0,0.75,0.6516669143799207,0.7023432474170347,0.22302667593675102,0.22302667593675102
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,4,32,40,0,0.5,0.8799423023709326,0.802764868103754,0.2522150013057501,0.2522150013057501
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,5,40,48,0,0.6875,0.830867055637037,0.8422278336341518,0.2348751650614215,0.2348751650614215
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,6,48,56,0,0.71875,0.745079799952667,0.7856619089720572,0.24466584397294788,0.24466584397294788
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,7,56,64,0,0.65625,0.7749120919531334,0.735866963920454,0.26573947903571926,0.26573947903571926
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,8,64,72,0,0.53125,0.7726158447449756,0.7858233388426712,0.25162786288174643,0.25162786288174643
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,1,9,72,80,0,0.625,0.6751556055551524,0.7182941530744876,0.23596338431155828,0.23596338431155828
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,0,0,8,0,0.71875,0.7302634236330742,0.8217509377944745,0.22467128734603065,0.22467128734603065
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,1,8,16,0,0.5,0.8532777654773527,0.802801773307848,0.23788503658395133,0.23788503658395133
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,2,16,24,0,0.5625,0.8155121508802132,0.8141211252628399,0.21924101727577483,0.21924101727577483
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,3,24,32,0,0.75,0.7989511861364469,0.7785182343604529,0.23186010984580968,0.23186010984580968
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,shuffled,2,4,32,40,0,0.625,0.8684883315014758,0.8929828790993496,0.24031969571123407,0.24031969571123407
