drive,corruption,condition,replicate,stream_index,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,phase,disturbance_index,classification_included,classification_label,current_severity,future_severity,future_feature_stage,error_definition,dynamic_error_definition,temporal_error_state_update_index,dynamic_formula_max_abs,instant_error_rms,simple_scalar_ema_error_rms,matched_tensor_ema_error_rms,dynamic_error_state_rms,dynamic_minus_matched_tensor_ema_max_abs
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,14,14,14,15,0000000014.png,0000000015.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),15,0.0,1.0247640966305274,0.9834127650072378,0.27520565828432975,0.27520565828432975,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,15,15,15,16,0000000015.png,0000000016.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),16,0.0,0.9626781546452337,0.979120700662303,0.2594422213070335,0.2594422213070335,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,16,16,16,17,0000000016.png,0000000017.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),17,0.0,0.9179455368678188,0.9664574417568448,0.25391332176337306,0.25391332176337306,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,17,17,17,18,0000000017.png,0000000018.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),18,0.0,0.9345257946799763,0.959847590811933,0.2577341567562089,0.2577341567562089,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,18,18,18,19,0000000018.png,0000000019.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),19,0.0,0.9472604023897588,0.957242042808543,0.25630800939689685,0.25630800939689685,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,19,19,19,20,0000000019.png,0000000020.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),20,0.0,0.939468447110222,0.9535629084989906,0.2550015227889425,0.2550015227889425,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,20,20,20,21,0000000020.png,0000000021.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),21,0.0,0.8418976265430355,0.9304481951341079,0.24493125307420463,0.24493125307420463,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,21,21,21,22,0000000021.png,0000000022.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),22,0.0,0.8517024423944708,0.914147824317003,0.25011655951294054,0.25011655951294054,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,22,22,22,23,0000000022.png,0000000023.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),23,0.0,0.8403365707496504,0.898868894828561,0.2568574903604544,0.2568574903604544,0.0
2011_09_26/2011_09_26_drive_0011_sync,gaussian_blur,persistent,0,23,23,23,24,0000000023.png,0000000024.png,baseline,,False,0,0.0,0.0,4,e_t=Fhat_t_stage4-F_t_stage4,epsilon_t=(Ts_e/tau_e)*e_t+(1-K_e*Ts_e/tau_e)*epsilon_(t-1),24,0.0,0.8740105825150152,0.8937232241796571,0.2546385840967161,0.2546385840967161,0.0
