split,drive,camera,sample_index,previous_raw_frame_index,origin_raw_frame_index,target_raw_frame_index,previous_frame_name,origin_frame_name,target_frame_name,stage,stage_channels,stage_height,stage_width,stage_stride_input_pixels,horizon_frames,horizon_seconds,copy_mse,velocity_mse,oracle_translation_mse,copy_minus_velocity_mse,copy_minus_velocity_over_copy,copy_minus_oracle_mse,copy_minus_oracle_over_copy,adjacent_delta_cosine,oracle_shift_dy_cells,oracle_shift_dx_cells
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,98,0000000095.png,0000000096.png,0000000098.png,stage4,512,28,28,8,2,0.207,3.9142329692840576,20.185441970825195,3.5763375759124756,-16.271209716796875,-4.1569342613220215,0.33789539337158203,0.08632480353116989,-0.3075357675552368,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,96,0000000092.png,0000000093.png,0000000096.png,stage4,512,28,28,8,3,0.3105,3.819063425064087,32.93754577636719,3.819063425064087,-29.11848258972168,-7.624508857727051,0.0,0.0,-0.2931135892868042,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,97,0000000093.png,0000000094.png,0000000097.png,stage4,512,28,28,8,3,0.3105,4.0321197509765625,34.291099548339844,4.0321197509765625,-30.25897979736328,-7.504484176635742,0.0,0.0,-0.29990094900131226,0,0
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,98,0000000094.png,0000000095.png,0000000098.png,stage4,512,28,28,8,3,0.3105,4.082547187805176,36.019901275634766,4.066888332366943,-31.937355041503906,-7.822899341583252,0.015658855438232422,0.0038355602882802486,-0.3220154047012329,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,99,0000000095.png,0000000096.png,0000000099.png,stage4,512,28,28,8,3,0.3105,4.25947904586792,37.341121673583984,4.225142478942871,-33.081642150878906,-7.7665934562683105,0.03433656692504883,0.008061212487518787,-0.3075357675552368,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,98,0000000092.png,0000000093.png,0000000098.png,stage4,512,28,28,8,5,0.5175,4.286662578582764,78.65269470214844,4.284581661224365,-74.36603546142578,-17.348236083984375,0.0020809173583984375,0.0004854399594478309,-0.2931135892868042,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,93,93,94,99,0000000093.png,0000000094.png,0000000099.png,stage4,512,28,28,8,5,0.5175,4.333995342254639,80.58832550048828,4.319936752319336,-76.25433349609375,-17.594465255737305,0.014058589935302734,0.003243794431909919,-0.29990094900131226,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,94,94,95,100,0000000094.png,0000000095.png,0000000100.png,stage4,512,28,28,8,5,0.5175,4.319704055786133,85.60450744628906,4.269342422485352,-81.28480529785156,-18.817216873168945,0.05036163330078125,0.011658583767712116,-0.3220154047012329,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,95,95,96,101,0000000095.png,0000000096.png,0000000101.png,stage4,512,28,28,8,5,0.5175,4.373021125793457,87.66475677490234,4.300460338592529,-83.29173278808594,-19.04672622680664,0.07256078720092773,0.016592828556895256,-0.3075357675552368,0,-1
train,2011_09_26/2011_09_26_drive_0005_sync,image_02,92,92,93,94,0000000092.png,0000000093.png,0000000094.png,stage5,512,14,14,16,1,0.1035,0.13361366093158722,0.2974573075771332,0.11691094189882278,-0.16384364664554596,-1.2262492179870605,0.016702719032764435,0.12500756978988647,0.00920947827398777,0,-1
