sequence,condition,frame,prediction_error_rms,encoded_error_rms,semantic_candidate_rms,semantic_update_gain_mean,semantic_update_gain_std,semantic_hidden_rms,semantic_state_mse_to_clean,state_recovery,state_direction_cosine,semantic_discrepancy_rms,restoration_delta_rms,oracle_residual_rms,restoration_direction_cosine,projection_scale_alpha,amplitude_ratio,feature_recovery,continuous_feature_recovery,nohistory_feature_recovery,zeroerror_feature_recovery,temporal_feature_gain,error_contribution
0002,Blur-Mid,23,0.015468355268239975,0.0024557230062782764,0.2594015598297119,0.26130279898643494,0.4264039993286133,0.25442415475845337,0.0006631789146922529,-2.106431980962233,0.29594868421554565,0.025966506451368332,0.0022528870031237602,0.014611151069402695,0.3091607093811035,0.04766935110092163,0.15418956332889786,0.07156428477363064,0.07156428477363064,0.08455316295934978,0.07156435293703856,-0.012988878185719144,-6.816340791804265e-08
0002,Blur-Max,23,0.018328985199332237,0.002902726409956813,0.2603580951690674,0.26164647936820984,0.42702656984329224,0.254649817943573,0.00068003119667992,-1.1591163751799827,0.36268383264541626,0.026598479598760605,0.0024871795903891325,0.01774705946445465,0.3500145971775055,0.04905315116047859,0.14014601096991147,0.07846530888631342,0.07846530888631342,0.0692804890241786,0.0784652164809102,0.009184819862134819,9.240540321808766e-08
0002,Blur-Mid,24,0.009396553970873356,0.0015212326543405652,0.2598226070404053,0.26188424229621887,0.42746031284332275,0.25463348627090454,0.0006777651142328978,-2.5293567061443802,0.2863224744796753,0.02636134624481201,0.00227633910253644,0.013857721351087093,0.3045331835746765,0.05002415552735329,0.1642650364273538,0.07306524295116246,0.07306524295116246,0.08344439692394523,0.07306516717432099,-0.010379153972782773,7.577684146831132e-08
0002,Blur-Max,24,0.009826408699154854,0.0015873090596869588,0.2610815167427063,0.26236823201179504,0.4283238649368286,0.25496646761894226,0.0006944928900338709,-1.4026081876738457,0.35159170627593994,0.026981640607118607,0.002541428664699197,0.01700170338153839,0.3507571816444397,0.05243147164583206,0.1494808259894037,0.08251840473687255,0.08251840473687255,0.07150969486971048,0.08251830405175054,0.01100870986716207,1.0068512201755198e-07
0002,Blur-Mid,25,0.010760593228042126,0.001732846605591476,0.25938674807548523,0.2617367208003998,0.4271959960460663,0.25453153252601624,0.0006934520206414163,-2.4905587819888986,0.26915544271469116,0.02635870687663555,0.0022698186803609133,0.014094858430325985,0.3124755918979645,0.050320688635110855,0.1610387710938092,0.0747077495001156,0.0747077495001156,0.094930120205172,0.07470782274860865,-0.02022237070505639,-7.324849304879422e-08
0002,Blur-Max,25,0.010887864045798779,0.001754297991283238,0.26081645488739014,0.2622164785861969,0.4280553460121155,0.2549274265766144,0.0007135150372050703,-1.2913181528918694,0.3477274775505066,0.027106832712888718,0.002583640394732356,0.017646512016654015,0.37800830602645874,0.055344514548778534,0.14641082568011332,0.08925295438586911,0.08925295438586911,0.07781234085271027,0.0892531413087273,0.011440613533158839,-1.869228581918847e-07
0002,Blur-Mid,26,0.009839974343776703,0.001582950702868402,0.2579958140850067,0.2615777254104614,0.4269047677516937,0.25415343046188354,0.0007030154811218381,-2.819514646405071,0.216769278049469,0.02591053396463394,0.0021255495958030224,0.013566829264163971,0.2489936351776123,0.039010465145111084,0.15667253964915326,0.053474708477606825,0.053474708477606825,0.10126467889922763,0.05347455035519033,-0.04778997042162081,1.5812241649371117e-07
0002,Blur-Max,26,0.009883947670459747,0.00158935587387532,0.25962069630622864,0.26206356287002563,0.4277840554714203,0.2546216547489166,0.000725189340300858,-1.3887357634659114,0.30782461166381836,0.026585357263684273,0.0023959178943187,0.017423750832676888,0.34150415658950806,0.04695980250835419,0.13750873261027943,0.07501102704365081,0.07501102704365081,0.08138749112875421,0.07501112291014633,-0.006376464085103395,-9.586649551973636e-08
0002,Blur-Mid,27,0.00876998994499445,0.001402581692673266,0.25808951258659363,0.26145869493484497,0.4266797602176666,0.25416380167007446,0.0007003199425525963,-2.9734021205350785,0.19917385280132294,0.02568896673619747,0.0020994918886572123,0.01327599212527275,0.24209314584732056,0.038285091519355774,0.15814199562988057,0.05156125652176535,0.05156125652176535,0.0906610112019186,0.05156100883235659,-0.039099754680153254,2.476894087610759e-07
0002,Blur-Max,27,0.009291909635066986,0.001490619732066989,0.25901317596435547,0.26189666986465454,0.42747795581817627,0.25444403290748596,0.0007191898766905069,-1.4894285920085188,0.2898007035255432,0.02624603919684887,0.002305753994733095,0.01699698716402054,0.3016347289085388,0.0409187451004982,0.1356566297592992,0.06343479463191504,0.06343479463191504,0.06876500096459504,0.06343479463191504,-0.005330206332679999,0.0
0002,Blur-Mid,28,0.008903713896870613,0.0014367606490850449,0.257790207862854,0.2612760663032532,0.4263467788696289,0.2540883421897888,0.0006778388633392751,-3.104510220140334,0.23382607102394104,0.025846131145954132,0.0020693133119493723,0.012850871309638023,0.2136755883693695,0.03440713882446289,0.1610251369023833,0.04288520152581754,0.04288520152581754,0.08147976811379665,0.042885289641869884,-0.03859456658797911,-8.811605234360087e-08
0002,Blur-Max,28,0.00931424181908369,0.0014942064881324768,0.2588338851928711,0.26170986890792847,0.42714017629623413,0.25439006090164185,0.0006955695571377873,-1.5783353311281534,0.3166871666908264,0.02648182399570942,0.002310825977474451,0.016424817964434624,0.2886306345462799,0.040607769042253494,0.14069111648471133,0.061421645250111956,0.061421645250111956,0.06496718715056349,0.06142175313211107,-0.003545541900451532,-1.0788199911182517e-07
0002,Blur-Mid,29,0.009519970044493675,0.0015104907797649503,0.2595672309398651,0.2611602246761322,0.42613640427589417,0.25456342101097107,0.0006935710553079844,-2.680129841952015,0.2604074776172638,0.02633206732571125,0.002255270490422845,0.013728209771215916,0.3130139410495758,0.051421940326690674,0.1642800137823866,0.07585600638708745,0.07585600638708745,0.09082944885890265,0.07585600638708745,-0.014973442471815201,0.0
0002,Blur-Max,29,0.009703565388917923,0.0015407706378027797,0.26106828451156616,0.26157110929489136,0.4268878996372223,0.25498268008232117,0.0007110125152394176,-1.4384400342396844,0.3217020630836487,0.02669721469283104,0.0025217446964234114,0.017075859010219574,0.3779227137565613,0.05581122264266014,0.14767893638113289,0.08981339451973414,0.08981339451973414,0.077872524250448,0.08981339451973414,0.011940870269286141,0.0
0002,Blur-Mid,30,0.008362524211406708,0.001338584115728736,0.2584872543811798,0.2611350119113922,0.4260929226875305,0.2543124258518219,0.0007036367314867675,-2.9306094704560977,0.23926153779029846,0.026328489184379578,0.0021855682134628296,0.013379636220633984,0.25690120458602905,0.041964903473854065,0.16335034655817182,0.05724652843317002,0.05724652843317002,0.0866026532390316,0.05724620327734309,-0.029356124805861583,3.251558269301569e-07
0002,Blur-Max,30,0.008788402192294598,0.0014174613170325756,0.26059383153915405,0.2615334093570709,0.4268238842487335,0.2548697590827942,0.0007226639427244663,-1.502914778475727,0.31870830059051514,0.026939038187265396,0.0024893542286008596,0.016992025077342987,0.36066651344299316,0.05283811688423157,0.14650132737387153,0.08421372750639045,0.08421372750639045,0.07888171854851056,0.08421382830622703,0.005332008957879886,-1.0079983658872749e-07
0002,Blur-Mid,31,0.008478526026010513,0.0013474670704454184,0.2577296495437622,0.2609834372997284,0.4258134067058563,0.2541058361530304,0.0007112376042641699,-2.9031755107777624,0.23745562136173248,0.026428047567605972,0.0020910645835101604,0.013498897664248943,0.19328996539115906,0.02994183450937271,0.15490632165085785,0.03588772791740669,0.03588772791740669,0.10321759643765249,0.035887568199532316,-0.0673298685202458,1.5971787437063512e-07
0002,Blur-Max,31,0.009128511883318424,0.0014525994192808867,0.2595451772212982,0.2613891363143921,0.42656514048576355,0.25460508465766907,0.0007309372304007411,-1.53232961649968,0.30099767446517944,0.02675740234553814,0.0023220910225063562,0.01698947325348854,0.314655601978302,0.043006572872400284,0.13667822350110523,0.06733223959536472,0.06733223959536472,0.08773874430801343,0.06733223959536472,-0.02040650471264871,0.0
0002,Blur-Mid,32,0.00824849121272564,0.001326133729889989,0.2581731677055359,0.2608838677406311,0.42562443017959595,0.2542029619216919,0.0007045436650514603,-2.5682705501486462,0.2582733631134033,0.026438523083925247,0.0021210836712270975,0.01405157707631588,0.21167901158332825,0.03195291757583618,0.15094986560634624,0.0411200490078375,0.0411200490078375,0.09654763605136096,0.041119680505691036,-0.05542758704352346,3.6850214646388935e-07
0002,Blur-Max,32,0.008676383644342422,0.001395992934703827,0.2603442370891571,0.2612825036048889,0.4263666868209839,0.2547992765903473,0.0007255269447341561,-1.3149512515813253,0.3305155634880066,0.026978343725204468,0.0024114586412906647,0.01770336553454399,0.3381665349006653,0.046063248068094254,0.13621470090448426,0.07357194123649768,0.07357194123649768,0.08501087925820272,0.07357212696067861,-0.011438938021705036,-1.857241809233301e-07
0002,Blur-Mid,33,0.0084787392988801,0.0013643138809129596,0.25912243127822876,0.26080241799354553,0.4254678785800934,0.2544707655906677,0.0007110044243745506,-2.47481738307197,0.260562002658844,0.026536833494901657,0.0022147931158542633,0.014304417185485363,0.2681114971637726,0.04151245206594467,0.15483281053223233,0.059051805801070834,0.059051805801070834,0.09870061633746596,0.05905194803717029,-0.03964881053639513,-1.422360994540739e-07
0002,Blur-Max,33,0.00914411898702383,0.0014678161824122071,0.2619960904121399,0.2611733675003052,0.4261602759361267,0.25525838136672974,0.0007371251122094691,-1.2157448476290957,0.3377816081047058,0.027194391936063766,0.0026409246493130922,0.018239406868815422,0.4088798463344574,0.05920262262225151,0.1447922439752346,0.09744039276822158,0.09744039276822158,0.08996908315005436,0.09744056773624621,0.007471309618167221,-1.7496802462435568e-07
0002,Blur-Mid,34,0.008375673554837704,0.001346316304989159,0.25859859585762024,0.26077041029930115,0.4254172742366791,0.25433459877967834,0.0007190204923972487,-2.5450983318332114,0.2338135838508606,0.026292599737644196,0.0021651997230947018,0.01424152497202158,0.23685124516487122,0.03600950539112091,0.15203426089189045,0.04890450434808191,0.04890450434808191,0.09460332743687916,0.048904647843214355,-0.04569882308879725,-1.4349513244305e-07
0002,Blur-Max,34,0.008933939039707184,0.0014410712756216526,0.2607024013996124,0.261209636926651,0.42623403668403625,0.2549111843109131,0.0007394047570414841,-1.430968848927114,0.30311352014541626,0.026808205991983414,0.0024408563040196896,0.017440197989344597,0.3448032736778259,0.04825720563530922,0.13995576802000612,0.07692666145880978,0.07692666145880978,0.08672000318442208,0.07692666145880978,-0.009793341725612303,0.0
0002,Blur-Mid,35,0.00773058645427227,0.001242510392330587,0.2586386799812317,0.2606651782989502,0.4252222180366516,0.2543727159500122,0.0007185213034972548,-2.70767489720741,0.23196446895599365,0.026362603530287743,0.002189839258790016,0.013920954428613186,0.24844242632389069,0.03908130154013634,0.1573052530284139,0.05341760534809059,0.05341760534809059,0.09731064383600008,0.05341753025808216,-0.043893038487909486,7.509000843342051e-08
0002,Blur-Max,35,0.008111586794257164,0.0013056219322606921,0.26051583886146545,0.26108646392822266,0.42600420117378235,0.25488293170928955,0.0007368337246589363,-1.5560453011413724,0.2918151915073395,0.026705706492066383,0.0024339689407497644,0.016978545114398003,0.3424605429172516,0.04909362643957138,0.14335556576551017,0.07763639792603994,0.07763639792603994,0.08797419382456151,0.0776361960061045,-0.010337795898521573,2.019199354386103e-07
0002,Blur-Mid,36,0.00839010439813137,0.001346673583611846,0.25818687677383423,0.26054835319519043,0.4250011742115021,0.25425252318382263,0.0007276832475326955,-3.0983361116711494,0.20010994374752045,0.026272345334291458,0.0021802515257149935,0.013325005769729614,0.232417494058609,0.03802839666604996,0.16362105678542113,0.04928500828583937,0.04928500828583937,0.10088644548147196,0.04928500828583937,-0.05160143719563259,0.0
