condition,stage_a,effective_frame_count,observation_mse,state_recovery,state_direction_cosine,continuous_feature_recovery,nohistory_feature_recovery,zeroerror_feature_recovery,restoration_direction_cosine,amplitude_ratio,temporal_feature_gain,error_contribution,early_hidden_rms,middle_hidden_rms,final_hidden_rms,hidden_growth_ratio,continuous_projection_scale,nohistory_direction_cosine,zeroerror_direction_cosine,prediction_error_rms,encoded_error_rms
Blur-Mid,NO-GO,710,0.00025763352334738746,-2.141910719467486,0.0,0.07781827812174624,0.0820661112063441,0.07781829061164991,0.3238653710715368,0.15785499111282916,-0.006418950486585324,-1.0275487407117918e-08,0.25442415475845337,0.2529793083667755,0.2529793083667755,0.9943211115585721,0.0508265006696989,0.43093887502458733,0.3238653781758228,0.008308173467169031,0.0013261571422409477
Blur-Max,NO-GO,710,0.0003495861514648554,-1.389239825616254,0.0,0.0929052209642176,0.0750407381531647,0.0929052357385588,0.3820874168629378,0.14820797604935862,0.015750068314776985,-1.603244765209921e-08,0.254649817943573,0.2534197270870209,0.2534197270870209,0.9951694807147882,0.056636338675735705,0.4471995333550682,0.3820874255098088,0.008370877370815462,0.0013380278265890731
