sequence_id,frame_id,frame_index,error_z1,dynamic_error_z1,correction_z1,state_z1,error_z4,dynamic_error_z4,correction_z4,state_z4
0002,000002,2,0.015499196946620941,0.0032083336263895035,0.006625510286539793,0.3406069278717041,0.006140532437711954,0.0012710902374237776,0.0037852877285331488,0.20762155950069427
0002,000003,3,0.015653735026717186,0.0034183452371507883,0.006758532021194696,0.34094786643981934,0.006473695393651724,0.0016079656779766083,0.0039047084283083677,0.2081751525402069
0002,000004,4,0.015673596411943436,0.0035802724305540323,0.0069144731387495995,0.3411496877670288,0.006863615475594997,0.0019148432184010744,0.004122699610888958,0.20867882668972015
0002,000005,5,0.015796180814504623,0.003752527292817831,0.00723875081166625,0.34128397703170776,0.0066074104979634285,0.0021159041207283735,0.004050288815051317,0.20929297804832458
0002,000006,6,0.015625465661287308,0.00385867222212255,0.007451570592820644,0.34140104055404663,0.006584769114851952,0.0021939154248684645,0.004190369043499231,0.20982550084590912
0002,000007,7,0.015530805103480816,0.003952349070459604,0.007643364369869232,0.34152036905288696,0.006512655410915613,0.0022903638891875744,0.004323985893279314,0.21095697581768036
0002,000008,8,0.015341896563768387,0.004048806149512529,0.007872676476836205,0.34154650568962097,0.006683839485049248,0.0023586542811244726,0.004594771191477776,0.2113775759935379
0002,000009,9,0.015359912998974323,0.004156266339123249,0.008018040098249912,0.34156540036201477,0.006971506401896477,0.0023071079049259424,0.004735645372420549,0.21126903593540192
0002,000010,10,0.015492444857954979,0.004276582971215248,0.008304087445139885,0.3415951132774353,0.00886183325201273,0.002617736579850316,0.006098693702369928,0.21026597917079926
0002,000011,11,0.015908917412161827,0.004485802259296179,0.00859935861080885,0.3416104316711426,0.009422393515706062,0.0033462310675531626,0.006606531795114279,0.20911100506782532
0002,000012,12,0.015999093651771545,0.004650886636227369,0.00861604418605566,0.3417079448699951,0.007856017909944057,0.003209998132660985,0.005617387592792511,0.21006113290786743
0002,000013,13,0.016304241493344307,0.0048134587705135345,0.008796827867627144,0.34173211455345154,0.007428941782563925,0.0032745201606303453,0.005309573374688625,0.2101183831691742
0002,000014,14,0.016402876004576683,0.004951500333845615,0.00882708840072155,0.3418312966823578,0.00724321324378252,0.0032146943267434835,0.005083576310425997,0.21025073528289795
0002,000015,15,0.016543691977858543,0.005069793667644262,0.008951361291110516,0.34190651774406433,0.007990172132849693,0.003437366336584091,0.005534678231924772,0.20981056988239288
0002,000016,16,0.016432948410511017,0.0051502264104783535,0.009102340787649155,0.34197962284088135,0.0075436863116919994,0.0035702609457075596,0.0053651584312319756,0.20964837074279785
0002,000017,17,0.016380200162529945,0.005246913991868496,0.009235041216015816,0.34198102355003357,0.008986632339656353,0.00391256483271718,0.006362331099808216,0.20858660340309143
0002,000018,18,0.016487788408994675,0.00535213015973568,0.009514362551271915,0.3420814275741577,0.008495747111737728,0.004204866010695696,0.006059240084141493,0.20779651403427124
0002,000019,19,0.016406381502747536,0.005470504052937031,0.009451561607420444,0.3420945405960083,0.007472253404557705,0.004193895496428013,0.005455814767628908,0.2077282816171646
0002,000020,20,0.016475947573781013,0.0055794245563447475,0.009625687263906002,0.34212273359298706,0.007767751347273588,0.004356427118182182,0.00561703322455287,0.20721875131130219
0002,000021,21,0.016292721033096313,0.005636185873299837,0.009698158130049706,0.3421326279640198,0.007172286044806242,0.004244653042405844,0.0052416385151445866,0.20724262297153473
0002,000022,22,0.016395408660173416,0.005721062887459993,0.00984916090965271,0.34217095375061035,0.007386276964098215,0.004052472300827503,0.005367656704038382,0.20752060413360596
0002,000023,23,0.01632261648774147,0.005760671570897102,0.009867586195468903,0.342194527387619,0.007582249119877815,0.004032097291201353,0.0053800116293132305,0.20724725723266602
0002,000024,24,0.0162204559892416,0.0057827471755445,0.009789122268557549,0.34213849902153015,0.007760637905448675,0.004092484712600708,0.005488043650984764,0.20691168308258057
0002,000025,25,0.016156261786818504,0.0057992651127278805,0.009952884167432785,0.3421490788459778,0.007387187797576189,0.003886648453772068,0.005269266664981842,0.20724067091941833
0002,000026,26,0.016494153067469597,0.005935326684266329,0.010307962074875832,0.3422553539276123,0.007456042338162661,0.00383192952722311,0.005423689726740122,0.2073129266500473
0002,000027,27,0.01614535041153431,0.005986668169498444,0.010217086412012577,0.3422706723213196,0.007405641954392195,0.0037307608872652054,0.005622680764645338,0.20777159929275513
0002,000028,28,0.01626567170023918,0.006062786560505629,0.01028800942003727,0.34224942326545715,0.007410961668938398,0.0038202821742743254,0.005690346471965313,0.20786157250404358
0002,000029,29,0.016237951815128326,0.0061097824946045876,0.010324543341994286,0.34222885966300964,0.007309559267014265,0.0038043134845793247,0.005559653043746948,0.20827651023864746
0002,000030,30,0.016120323911309242,0.006132327485829592,0.010270308703184128,0.34218552708625793,0.00754260178655386,0.0038998390082269907,0.005702527239918709,0.2081165611743927
0002,000031,31,0.01604549027979374,0.00613237451761961,0.010217445902526379,0.3421173393726349,0.007319996133446693,0.003930206410586834,0.005534409079700708,0.20804579555988312
