condition,stage_a,effective_frame_count,observation_mse,state_recovery,state_direction_cosine,continuous_feature_recovery,nohistory_feature_recovery,zeroerror_feature_recovery,restoration_direction_cosine,amplitude_ratio,temporal_feature_gain,error_contribution,early_hidden_rms,middle_hidden_rms,final_hidden_rms,hidden_growth_ratio,continuous_projection_scale,nohistory_direction_cosine,zeroerror_direction_cosine,prediction_error_rms,encoded_error_rms,restoration_magnitude_scale_mean,restoration_contextual_residual_rms
Blur-Mid,NO-GO,710,0.00025763352334738746,-1.0381143955950574,0.0,0.11325836968335534,0.042208728400662365,0.11325853738218872,0.3756913197922035,0.20747958107089387,0.06977576699750901,-1.695788320743887e-07,0.25417378544807434,0.25384581089019775,0.25384581089019775,0.9987096444375709,0.07790891717542225,0.25162985746709393,0.37569158264029195,0.008308173467169031,0.0013278376246297495,,
Blur-Max,NO-GO,710,0.0003495861514648554,-0.6091489570665001,0.0,0.11790520232626878,0.036082626007110985,0.1179053188794057,0.40590272092483415,0.18766284151416054,0.08077159548776473,-1.207402374226991e-07,0.25457921624183655,0.254551500082016,0.254551500082016,0.9998911295264802,0.07629054516658816,0.24678887922159384,0.4059028614994506,0.008370877370815462,0.0013397254371559772,,
