sequence_id,frame_id,frame_index,error_z1,dynamic_error_z1,correction_z1,state_z1,error_z4,dynamic_error_z4,correction_z4,state_z4
0002,000002,2,0.013616262003779411,0.0028185665141791105,0.006098042242228985,0.3403499126434326,0.006805995479226112,0.0014088411116972566,0.005548510234802961,0.20396748185157776
0002,000003,3,0.01359650306403637,0.0035787306260317564,0.0061982544139027596,0.34045544266700745,0.007054665591567755,0.0021916101686656475,0.0056882319040596485,0.20437249541282654
0002,000004,4,0.013458776287734509,0.0038659751880913973,0.0062391734682023525,0.34050828218460083,0.007703403942286968,0.0028287400491535664,0.006205397192388773,0.2047664225101471
0002,000005,5,0.01354980282485485,0.004029606934636831,0.006434405688196421,0.3405389189720154,0.007389189209789038,0.003279220312833786,0.005928685888648033,0.20521745085716248
0002,000006,6,0.013348350301384926,0.00407127570360899,0.006468615029007196,0.3405679762363434,0.007357648573815823,0.003560743061825633,0.00598030025139451,0.20558644831180573
0002,000007,7,0.01315983198583126,0.004109142813831568,0.006474103778600693,0.3405909240245819,0.007335346657782793,0.0037478888407349586,0.006018863059580326,0.20606544613838196
0002,000008,8,0.012954751029610634,0.004120601341128349,0.0064993007108569145,0.34057286381721497,0.007538457866758108,0.003926863428205252,0.006234601140022278,0.20654593408107758
0002,000009,9,0.01297712791711092,0.004114992450922728,0.006585273891687393,0.3405390679836273,0.007735374383628368,0.004004776477813721,0.006415366195142269,0.206927090883255
0002,000010,10,0.013060380704700947,0.004103704821318388,0.006721369922161102,0.34051093459129333,0.008224552497267723,0.004015290178358555,0.006897917948663235,0.20706099271774292
0002,000011,11,0.013311030343174934,0.004137036856263876,0.006900995969772339,0.34046757221221924,0.010331723839044571,0.004093272145837545,0.00880406890064478,0.20677059888839722
0002,000012,12,0.013310419395565987,0.00424216641113162,0.006885020527988672,0.34047871828079224,0.008607388474047184,0.0042858002707362175,0.007393644191324711,0.20718489587306976
0002,000013,13,0.013510281220078468,0.004327773116528988,0.006984791252762079,0.34048283100128174,0.008180693723261356,0.0044885012321174145,0.006998813711106777,0.2074480950832367
0002,000014,14,0.013583035208284855,0.004374419339001179,0.006968261208385229,0.34050771594047546,0.008172386325895786,0.004588694777339697,0.006966196931898594,0.20766820013523102
0002,000015,15,0.01360873319208622,0.004415507894009352,0.006965540815144777,0.34054720401763916,0.00811280682682991,0.004657695069909096,0.0069042411632835865,0.20797184109687805
0002,000016,16,0.01349056139588356,0.004446113016456366,0.006966699846088886,0.34055981040000916,0.009620857425034046,0.005042698234319687,0.00823491346091032,0.20763728022575378
