additional_params,condition,effective_frames,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_gate_channel_std,mean_gate_spatial_std,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,trainable_params,variant,wIoU
2557378,Clean,453,True,8.351732130588305,453,0,0.5504802800362203,0.9556047469060728,0.9550145790013155,0.0012558939633890986,0.0016963306115940213,0.0,0.0006450227228924632,0.0,0.0,453,full-scalar,503,2557378,F0,0.870855773689375
2590144,Clean,453,True,8.351732130588305,453,0,0.5494309691486351,0.9565315315271271,0.9556778159753917,0.00030398560920730233,0.0004495233588386327,0.00025173622998408973,0.0003251423768233508,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8720396122084885
2590146,Clean,453,True,8.351732130588305,453,0,0.5499875718059755,0.9567584348894249,0.9558414547780841,0.00046755102812312543,0.0006024100002832711,0.0,0.00043150634155608714,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8721147446373216
2622912,Clean,453,True,8.351732130588305,453,0,0.5497946435625897,0.9566371981289072,0.9557327260015172,0.0003140442131552845,0.00045502473949454725,0.0002476381487213075,0.00032888597343117,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8721520669852927
2557378,Blur-Mid,453,True,8.258399907048105,453,0,0.47581633395901,0.9131391554403748,0.9282044046109704,0.0020699582528322935,0.002786413300782442,0.0,0.0005244223866611719,0.0,0.0,453,full-scalar,503,2557378,F0,0.8312685658237354
2590144,Blur-Mid,453,True,8.258399907048105,453,0,0.4699521871748161,0.8758473268665671,0.9095593241626796,0.0005076733068563044,0.0007498268387280405,0.0004385154170449823,0.00032860340434126556,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.821969561276965
2590146,Blur-Mid,453,True,8.258399907048105,453,0,0.4704845214594395,0.8756981583386807,0.9095056902559162,0.0007973682368174195,0.0010213714558631182,0.0,0.0004357004363555461,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8220275110835322
2622912,Blur-Mid,453,True,8.258399907048105,453,0,0.47063925887974517,0.8763410281688739,0.9098849192547414,0.0005265111685730517,0.000759996531996876,0.0004306213231757283,0.00033244185033254325,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8224368084367728
2557378,Blur-Max,453,True,8.265391932014568,453,0,0.43193887577444884,0.8568350516034307,0.8918835491527907,0.002189730992540717,0.0029466035775840282,0.0,0.0005330783315002918,0.0,0.0,453,full-scalar,503,2557378,F0,0.7912969031393853
2590144,Blur-Max,453,True,8.265391932014568,453,0,0.4038185854103112,0.763258244182633,0.8291525532220887,0.0005384984542615712,0.0007954770117066801,0.00046590183046646416,0.00033072647056542337,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.7423674143179592
2590146,Blur-Max,453,True,8.265391932014568,453,0,0.40287652871796387,0.7622039739200978,0.8285980862220909,0.0008464512648060918,0.0010835197754204273,0.0,0.0004398911842145026,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.7411053698629878
2622912,Blur-Max,453,True,8.265391932014568,453,0,0.4040066382302015,0.7635368564300128,0.8295158218477684,0.0005587130435742438,0.0008063045679591596,0.0004574911727104336,0.0003345838049426675,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.7428308513196514
