condition,future_feature_stage,target_flow_top_stage,prediction_feature_channels,prediction_feature_height,prediction_feature_width,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,temporal_fusion_applied,alignment_applied,feature_mse,feature_cosine,normalized_feature_error,copy_mse,copy_cosine,copy_normalized_feature_error,mse_improvement_vs_same_stage_copy,relative_mse_improvement_vs_same_stage_copy,cosine_improvement_vs_same_stage_copy,normalized_error_improvement_vs_same_stage_copy,raw_previous_to_current_mse,aligned_previous_to_current_mse,alignment_mse_reduction_fraction,alignment_patch_matching_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,prediction_base_current_max_abs,aligned_temporal_difference_rms,predicted_residual_rms
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,0,0,1,0000000000.png,0000000001.png,1,0.1035,False,False,1.1946837902069092,0.7196617126464844,0.6960855722427368,1.5340720415115356,0.690823495388031,0.7887856960296631,0.33938825130462646,0.22123358103197294,0.02883821725845337,0.09270012378692627,,,,,,,0.0,0.0,0.6169597833377262
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,1,1,2,0000000001.png,0000000002.png,1,0.1035,False,True,1.3877004384994507,0.6772150993347168,0.7395543456077576,1.800865888595581,0.6400964260101318,0.8424863815307617,0.41316545009613037,0.22942599596816207,0.03711867332458496,0.10293203592300415,1.5340720415115356,0.8871404528617859,0.42170874062232566,0.7939566373825073,0.7716836333274841,0.7811936736106873,0.0,0.9418813369325172,0.65216998681324
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,2,2,3,0000000002.png,0000000003.png,1,0.1035,False,True,1.1816301345825195,0.6993861794471741,0.7205938696861267,1.7199071645736694,0.6435924172401428,0.8693652749061584,0.5382770299911499,0.31296865381950895,0.05579376220703125,0.14877140522003174,1.800865888595581,1.0008189678192139,0.4442568021543736,0.9258987903594971,0.8647959232330322,1.0037477016448975,0.0,1.0004094001053838,0.6846797055767523
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,3,3,4,0000000003.png,0000000004.png,1,0.1035,False,True,1.0145699977874756,0.7229547500610352,0.6939343214035034,1.4421732425689697,0.6714245676994324,0.8273438811302185,0.42760324478149414,0.2964992222569576,0.05153018236160278,0.1334095597267151,1.7199071645736694,1.032719373703003,0.39954935070056913,0.9339884519577026,0.8099489808082581,0.8928973078727722,0.0,1.0162280126541499,0.641552602447257
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,4,4,5,0000000004.png,0000000005.png,1,0.1035,False,True,0.9853194952011108,0.723541259765625,0.6922816038131714,1.39414381980896,0.6651486158370972,0.8234705924987793,0.4088243246078491,0.29324401026564856,0.05839264392852783,0.1311889886856079,1.4421732425689697,0.7802407145500183,0.4589826717626787,0.6692450046539307,0.7653061151504517,0.79172283411026,0.0,0.8833123538986751,0.6052600870201851
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,5,5,6,0000000005.png,0000000006.png,1,0.1035,False,True,0.8873841762542725,0.7587119936943054,0.6514266133308411,1.173855185508728,0.7169694900512695,0.7492330074310303,0.28647100925445557,0.2440428877351716,0.04174250364303589,0.09780639410018921,1.39414381980896,0.7731157541275024,0.4454548066400762,0.6804624795913696,0.8405612111091614,0.8786013126373291,0.0,0.8792700120710943,0.5982487054532651
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,6,6,7,0000000006.png,0000000007.png,1,0.1035,False,True,0.936551570892334,0.7503910064697266,0.6609996557235718,1.2768465280532837,0.6985304355621338,0.7717999219894409,0.3402949571609497,0.26651202762776277,0.05186057090759277,0.11080026626586914,1.173855185508728,0.7262946963310242,0.38127402315281256,0.6533488035202026,0.7806122303009033,0.7996322512626648,0.0,0.8522292510416574,0.6011159651488419
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,7,7,8,0000000007.png,0000000008.png,1,0.1035,False,True,0.9900449514389038,0.7466931939125061,0.6651760339736938,1.3481035232543945,0.6924524307250977,0.7761948108673096,0.3580585718154907,0.26560168832666353,0.05424076318740845,0.11101877689361572,1.2768465280532837,0.7836831212043762,0.3862354605770815,0.700462818145752,0.7665815949440002,0.7903566956520081,0.0,0.8852587877024302,0.6162954233231426
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,8,8,9,0000000008.png,0000000009.png,1,0.1035,False,True,0.973962128162384,0.771619975566864,0.6369751691818237,1.2860767841339111,0.7231590747833252,0.731955885887146,0.3121146559715271,0.24268741946206265,0.04846090078353882,0.09498071670532227,1.3481035232543945,0.8460341095924377,0.37242645316283585,0.7337512373924255,0.7742346525192261,0.8106896281242371,0.0,0.919801125022381,0.6262257953161626
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,9,9,10,0000000009.png,0000000010.png,1,0.1035,False,True,1.0412266254425049,0.7601442337036133,0.6498956084251404,1.3911842107772827,0.7141472101211548,0.7512132525444031,0.34995758533477783,0.25155373574808576,0.045997023582458496,0.1013176441192627,1.2860767841339111,0.8087698817253113,0.371134063142299,0.7168223857879639,0.71683669090271,0.7453667521476746,0.0,0.8993163412978279,0.6506172678815053
