condition,frame_index,mode,observation_cos_mean,observation_cos_z1,observation_cos_z4,observation_mse_mean,observation_mse_z1,observation_mse_z4,position_bin,semantic_cos_mean,semantic_cos_z1,semantic_cos_z4,semantic_mse_mean,semantic_mse_z1,semantic_mse_z4,sequence
Clean,17,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9545817375183105,0.979346513748169,0.9298169612884521,0.007319895783439279,0.005847251508384943,0.008792540058493614,0002
Clean,17,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9726376831531525,0.9840127229690552,0.9612626433372498,0.004742228426039219,0.004545520059764385,0.004938936792314053,0002
Clean,18,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9544910788536072,0.9791852831840515,0.9297968745231628,0.007331284461542964,0.005887226667255163,0.008775342255830765,0002
Clean,18,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9700896143913269,0.9843721389770508,0.955807089805603,0.005007861880585551,0.004430532455444336,0.005585191305726767,0002
Clean,19,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9536762833595276,0.9789814352989197,0.9283711314201355,0.007445511408150196,0.005947020836174488,0.008944001980125904,0002
Clean,19,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9667492508888245,0.9837409853935242,0.9497575163841248,0.005462384084239602,0.00460342550650239,0.006321342661976814,0002
Clean,20,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9536864161491394,0.9787680506706238,0.928604781627655,0.007445968687534332,0.006004578433930874,0.00888735894113779,0002
Clean,20,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9653478860855103,0.9834455847740173,0.9472501873970032,0.005640780087560415,0.004678395111113787,0.006603165064007044,0002
Clean,21,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9534138739109039,0.9785906672477722,0.9282370805740356,0.007455075159668922,0.006055616773664951,0.008854533545672894,0002
Clean,21,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9639513790607452,0.9831559658050537,0.9447467923164368,0.005798536818474531,0.0047565605491399765,0.006840513087809086,0002
Clean,22,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9530929327011108,0.9783586859703064,0.9278271794319153,0.007491059135645628,0.006124074570834637,0.00885804370045662,0002
Clean,22,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9627354741096497,0.9828069806098938,0.9426639676094055,0.005956883076578379,0.004854298196732998,0.0070594679564237595,0002
Clean,23,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9527665972709656,0.9781646728515625,0.9273685216903687,0.007525471039116383,0.006178797222673893,0.008872144855558872,0002
Clean,23,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9616191685199738,0.9824932813644409,0.9407450556755066,0.006097413832321763,0.004939887207001448,0.007254940457642078,0002
Clean,24,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9523219466209412,0.9778488874435425,0.9267950057983398,0.007634171051904559,0.006271353457123041,0.008996988646686077,0002
Clean,24,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.960487961769104,0.9820696711540222,0.9389062523841858,0.006295850034803152,0.005059961229562759,0.007531738840043545,0002
Clean,25,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9519843757152557,0.9775390625,0.9264296889305115,0.007663561729714274,0.006353637669235468,0.008973485790193081,0002
Clean,25,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9727708101272583,0.9840136170387268,0.9615280032157898,0.0046398271806538105,0.004526306875050068,0.004753347486257553,0002
Clean,26,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9518894553184509,0.9774807095527649,0.926298201084137,0.007633937522768974,0.006373240612447262,0.008894634433090687,0002
Clean,26,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.970119446516037,0.9843928813934326,0.9558460116386414,0.004895773250609636,0.004415379371494055,0.005376167129725218,0002
Clean,27,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.951530933380127,0.9775310158729553,0.9255308508872986,0.0076905658934265375,0.006353152450174093,0.009027979336678982,0002
Clean,27,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9671139717102051,0.9839810729026794,0.9502468705177307,0.0053049318958073854,0.004519198089838028,0.006090665701776743,0002
Clean,28,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9514307975769043,0.9773725271224976,0.925489068031311,0.0077418789733201265,0.006407713983207941,0.009076043963432312,0002
Clean,28,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9653526544570923,0.9836728572845459,0.9470324516296387,0.005552093032747507,0.004609775263816118,0.006494410801678896,0002
Clean,29,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9514125287532806,0.9771940112113953,0.925631046295166,0.007776336278766394,0.006458982825279236,0.009093689732253551,0002
Clean,29,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9640139937400818,0.9833407998085022,0.9446871876716614,0.005748976254835725,0.004699667450040579,0.006798285059630871,0002
Clean,30,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9512841999530792,0.9770643711090088,0.9255040287971497,0.007786968722939491,0.006493651308119297,0.009080286137759686,0002
Clean,30,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9628048539161682,0.9830466508865356,0.9425630569458008,0.0058984397910535336,0.004777233116328716,0.007019646465778351,0002
Clean,31,continuous,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.9510326981544495,0.9768497943878174,0.9252156019210815,0.007776644779369235,0.006556533742696047,0.008996755816042423,0002
Clean,31,reset8,1.0,1.0,1.0,0.0,0.0,0.0,0-31,0.961663544178009,0.9826764464378357,0.9406506419181824,0.006011771038174629,0.00487991189584136,0.007143630180507898,0002
Clean,32,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9506111741065979,0.9766519069671631,0.9245704412460327,0.007842432707548141,0.006615433841943741,0.009069431573152542,0002
Clean,32,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9605121314525604,0.9823132753372192,0.9387109875679016,0.006184120429679751,0.00498269684612751,0.007385544013231993,0002
Clean,33,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9504840970039368,0.9763912558555603,0.9245769381523132,0.007901724427938461,0.00669486541301012,0.009108583442866802,0002
Clean,33,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9731164276599884,0.9842361807823181,0.9619966745376587,0.00457119126804173,0.004465513862669468,0.004676868673413992,0002
Clean,34,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9505964517593384,0.9763836860656738,0.9248092174530029,0.00788870477117598,0.006693147588521242,0.009084261953830719,0002
Clean,34,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9703713953495026,0.9846405386924744,0.9561022520065308,0.004852226702496409,0.004340633749961853,0.005363819655030966,0002
Clean,35,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9503909051418304,0.9763509631156921,0.9244308471679688,0.007920190691947937,0.006704256869852543,0.009136124514043331,0002
Clean,35,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9673559665679932,0.9841243624687195,0.9505875706672668,0.005251490511000156,0.004481917712837458,0.006021063309162855,0002
Clean,36,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9501866400241852,0.9761520624160767,0.9242212176322937,0.00796237331815064,0.006762251723557711,0.009162494912743568,0002
Clean,36,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9654567539691925,0.9837267398834229,0.9471867680549622,0.005505560431629419,0.004590557422488928,0.006420563440769911,0002
Clean,37,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9500725567340851,0.9761283993721008,0.9240167140960693,0.00796274421736598,0.006764275021851063,0.009161213412880898,0002
Clean,37,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9639856219291687,0.9834946393966675,0.9444766044616699,0.005682908231392503,0.004648800939321518,0.006717015523463488,0002
Clean,38,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9499698281288147,0.9760269522666931,0.9239127039909363,0.007991018705070019,0.0067919036373496056,0.009190133772790432,0002
Clean,38,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.96275794506073,0.9832030534744263,0.9423128366470337,0.005858838092535734,0.004726087674498558,0.00699158851057291,0002
Clean,39,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.949915736913681,0.9759244918823242,0.9239069819450378,0.007997665321454406,0.0068170479498803616,0.00917828269302845,0002
Clean,39,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9616937339305878,0.9828982949256897,0.9404891729354858,0.005997596774250269,0.0048050060868263245,0.007190187461674213,0002
Clean,40,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9499744772911072,0.9758514165878296,0.9240975379943848,0.007984856143593788,0.006835124455392361,0.009134587831795216,0002
Clean,40,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9608916342258453,0.9826223254203796,0.939160943031311,0.006104510044679046,0.0048785037361085415,0.00733051635324955,0002
Clean,41,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9498547613620758,0.9757706522941589,0.9239388704299927,0.007997154258191586,0.006855102255940437,0.009139206260442734,0002
Clean,41,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9735626578330994,0.9847293496131897,0.962395966053009,0.004447332117706537,0.004302844405174255,0.004591819830238819,0002
Clean,42,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9497899115085602,0.975688636302948,0.9238911867141724,0.00802142545580864,0.006879533641040325,0.009163317270576954,0002
Clean,42,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9706416130065918,0.9850197434425354,0.9562634825706482,0.004772234475240111,0.004214832093566656,0.005329636856913567,0002
Clean,43,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9496426582336426,0.975579559803009,0.9237057566642761,0.00804635533131659,0.006911377888172865,0.009181332774460316,0002
Clean,43,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9675590991973877,0.9843775629997253,0.95074063539505,0.005179190309718251,0.0043891482055187225,0.00596923241391778,0002
Clean,44,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.949628472328186,0.9755849838256836,0.9236719608306885,0.008061474654823542,0.006907566450536251,0.009215382859110832,0002
Clean,44,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9658111333847046,0.9841429591178894,0.9474793076515198,0.005414709914475679,0.0044487048871815205,0.006380714941769838,0002
Clean,45,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9494830965995789,0.9754651784896851,0.9235010147094727,0.008088248549029231,0.006940521765500307,0.009235975332558155,0002
Clean,45,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9642241895198822,0.9837938547134399,0.9446545243263245,0.005623514764010906,0.004541479051113129,0.006705550476908684,0002
Clean,46,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9493929743766785,0.9753243923187256,0.9234615564346313,0.008123529376462102,0.006984417792409658,0.009262640960514545,0002
Clean,46,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9629608392715454,0.9834147691726685,0.9425069093704224,0.005814006319269538,0.00464837159961462,0.006979641038924456,0002
Clean,47,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9493375718593597,0.9752547144889832,0.9234204292297363,0.008143470855429769,0.00700603099539876,0.009280910715460777,0002
Clean,47,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9618583917617798,0.9831089973449707,0.9406077861785889,0.005972960032522678,0.004733724053949118,0.007212196011096239,0002
Clean,48,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9493917524814606,0.9751439094543457,0.9236395955085754,0.008143737679347396,0.007040895987302065,0.009246579371392727,0002
Clean,48,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9610093235969543,0.9827640056610107,0.939254641532898,0.006097340025007725,0.004831348545849323,0.007363331504166126,0002
Clean,49,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9490719437599182,0.9750601649284363,0.9230837225914001,0.008182561723515391,0.007066179532557726,0.009298943914473057,0002
Clean,49,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9734537303447723,0.9848519563674927,0.962055504322052,0.004462285898625851,0.004266389645636082,0.00465818215161562,0002
Clean,50,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9490576982498169,0.9749169945716858,0.923198401927948,0.008210868807509542,0.007110167760401964,0.009311569854617119,0002
Clean,50,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9705729484558105,0.9850491285324097,0.9560967683792114,0.004797006957232952,0.004205888137221336,0.005388125777244568,0002
Clean,51,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9489878714084625,0.9748290181159973,0.9231467247009277,0.008237564004957676,0.007135976105928421,0.00933915190398693,0002
Clean,51,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9675339162349701,0.9844099283218384,0.9506579041481018,0.005210714880377054,0.004380243830382824,0.0060411859303712845,0002
Clean,52,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9491725862026215,0.9747471809387207,0.9235979914665222,0.008196854963898659,0.007159643806517124,0.009234066121280193,0002
Clean,52,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9659180045127869,0.9840659499168396,0.9477700591087341,0.005404049064964056,0.004472542554140091,0.006335555575788021,0002
Clean,53,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9487691521644592,0.9746394157409668,0.9228988885879517,0.008288535987958312,0.00719285337254405,0.009384218603372574,0002
Clean,53,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9641617238521576,0.9836965799331665,0.9446268677711487,0.005676676752045751,0.004574659280478954,0.006778694223612547,0002
Clean,54,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9490334391593933,0.9745477437973022,0.9235191345214844,0.008279755944386125,0.007221105974167585,0.009338405914604664,0002
Clean,54,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9631198644638062,0.9833347797393799,0.9429049491882324,0.005833903094753623,0.00467613385990262,0.006991672329604626,0002
Clean,55,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9488669335842133,0.9745010733604431,0.9232327938079834,0.008314555045217276,0.007235737517476082,0.00939337257295847,0002
Clean,55,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9619254767894745,0.9830307960510254,0.9408201575279236,0.006008730968460441,0.00476067652925849,0.007256785407662392,0002
Clean,56,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9488925337791443,0.9744367003440857,0.9233483672142029,0.008308960124850273,0.007253666408360004,0.009364253841340542,0002
Clean,56,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9610120952129364,0.9827105402946472,0.9393136501312256,0.006134069757536054,0.004848447162657976,0.007419692352414131,0002
Clean,57,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9488424360752106,0.9743708968162537,0.9233139753341675,0.008317247731611133,0.007272687274962664,0.009361808188259602,0002
Clean,57,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.973576694726944,0.984805703163147,0.962347686290741,0.004475372843444347,0.004280265886336565,0.00467047980055213,0002
Clean,58,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9487018287181854,0.9742783904075623,0.9231252670288086,0.008353348355740309,0.007302606478333473,0.009404090233147144,0002
Clean,58,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9706154763698578,0.9850225448608398,0.9562084078788757,0.004817076958715916,0.004215319640934467,0.005418834276497364,0002
Clean,59,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9487939178943634,0.9741965532302856,0.9233912825584412,0.00835099397227168,0.007327143102884293,0.009374844841659069,0002
Clean,59,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9677313268184662,0.9843592643737793,0.9511033892631531,0.005210715811699629,0.004396096337586641,0.006025335285812616,0002
Clean,60,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9485915303230286,0.9740800261497498,0.9231030344963074,0.00842248578555882,0.007365663070231676,0.009479308500885963,0002
Clean,60,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.965790867805481,0.9839547872543335,0.9476269483566284,0.005505482899025083,0.004509546793997288,0.006501419004052877,0002
Clean,61,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9486898183822632,0.9740421772003174,0.923337459564209,0.00843393336981535,0.007375510409474373,0.009492356330156326,0002
Clean,61,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9643693566322327,0.9836257100105286,0.9451130032539368,0.005711403442546725,0.004597614984959364,0.006825191900134087,0002
Clean,62,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.948669821023941,0.9740197658538818,0.9233198761940002,0.008453116985037923,0.0073881312273442745,0.009518102742731571,0002
Clean,62,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9631403982639313,0.9833321571350098,0.9429486393928528,0.005892971763387322,0.0046835714019834995,0.007102372124791145,0002
Clean,63,continuous,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9487016499042511,0.9739183783531189,0.9234849214553833,0.00844127289019525,0.007417042274028063,0.009465503506362438,0002
Clean,63,reset8,1.0,1.0,1.0,0.0,0.0,0.0,32-63,0.9621090590953827,0.9829458594322205,0.9412722587585449,0.006031243829056621,0.004790044855326414,0.007272442802786827,0002
Clean,64,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9484447836875916,0.9738433957099915,0.9230461716651917,0.008458030875772238,0.007443081587553024,0.009472980163991451,0002
Clean,64,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9609678387641907,0.9825962781906128,0.9393393993377686,0.006180368596687913,0.004890989512205124,0.007469747681170702,0002
Clean,65,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9481544196605682,0.9736823439598083,0.9226264953613281,0.00853108405135572,0.007497085724025965,0.009565082378685474,0002
Clean,65,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.973241537809372,0.9845495223999023,0.9619335532188416,0.004581229528412223,0.0043697841465473175,0.004792674910277128,0002
Clean,66,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9481987357139587,0.9735767841339111,0.9228206872940063,0.008564696880057454,0.007525658700615168,0.00960373505949974,0002
Clean,66,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9703706204891205,0.9847511053085327,0.9559901356697083,0.004924356238916516,0.004303704481571913,0.00554500799626112,0002
Clean,67,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9483648538589478,0.9735853672027588,0.9231443405151367,0.008545158430933952,0.0075228167697787285,0.009567500092089176,0002
Clean,67,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9675472378730774,0.9841510057449341,0.9509434700012207,0.0053061675280332565,0.004465487785637379,0.006146847270429134,0002
Clean,68,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9481142461299896,0.9735773205757141,0.9226511716842651,0.00858628866262734,0.0075287665240466595,0.00964381080120802,0002
Clean,68,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9656019806861877,0.9838513731956482,0.9473525881767273,0.005573502508923411,0.004549389239400625,0.0065976157784461975,0002
Clean,69,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9483683109283447,0.9735931158065796,0.9231435060501099,0.008587015327066183,0.007521112449467182,0.009652918204665184,0002
Clean,69,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.964368462562561,0.9835582375526428,0.9451786875724792,0.005774095421656966,0.004626571200788021,0.006921619642525911,0002
Clean,70,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9485146403312683,0.9735886454582214,0.9234406352043152,0.008592297323048115,0.0075208088383078575,0.009663785807788372,0002
Clean,70,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9632458984851837,0.9832674860954285,0.943224310874939,0.005947355413809419,0.004704466089606285,0.007190244738012552,0002
Clean,71,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9485125243663788,0.973524808883667,0.9235002398490906,0.008595817955210805,0.007539061363786459,0.009652574546635151,0002
Clean,71,reset8,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9621762037277222,0.9829100370407104,0.9414423704147339,0.006101387552917004,0.004802492447197437,0.00740028265863657,0002
Clean,72,continuous,1.0,1.0,1.0,0.0,0.0,0.0,64-127,0.9484445452690125,0.9734746217727661,0.9234144687652588,0.008614127291366458,0.007554630283266306,0.00967362429946661,0002
