additional_params,condition,effective_frames,epoch,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_gate_channel_std,mean_gate_spatial_std,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,trainable_params,variant,wIoU
2557378,Clean,453,1,True,8.576054373023517,453,0,0.5495952511925586,0.9566602036784153,0.9557886965478727,0.0004580813110806048,0.0006102005136199296,0.0,0.00043674351763911545,0.0,0.0,453,full-scalar,503,2557378,F0,0.8719981901619552
2590144,Clean,453,1,True,8.576054373023517,453,0,0.5494278088701938,0.9565305252839449,0.9556771558571151,0.000303999608149752,0.0004494869790505618,0.0002517676039133221,0.00032511702738702297,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8720396321085074
2590146,Clean,453,1,True,8.576054373023517,453,0,0.5499868517853377,0.9567589368626207,0.9558416569252616,0.0004675454692915082,0.0006024111644364893,0.0,0.0004314972320571542,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8721147596093729
2622912,Clean,453,1,True,8.576054373023517,453,0,0.5497957955412854,0.9566362089284483,0.955731870245779,0.00031403120374307036,0.00045507290633395314,0.0002476495283190161,0.0003289209271315485,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8721522802807429
2557378,Blur-Mid,453,1,True,8.572624258718827,453,0,0.4698665971647379,0.8750911187947797,0.9091194981919977,0.0007795359706506133,0.0010350223165005445,0.0,0.00044097265345044434,0.0,0.0,453,full-scalar,503,2557378,F0,0.8215966239990082
2590144,Blur-Mid,453,1,True,8.572624258718827,453,0,0.4699506489601626,0.8758456980702789,0.9095577506721412,0.0005076898378320038,0.0007497580372728407,0.00043857484706677496,0.0003285769489593804,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8219690618283931
2590146,Blur-Mid,453,1,True,8.572624258718827,453,0,0.4704853350065828,0.8756987149357041,0.9095061817247847,0.0007973533938638866,0.001021364820189774,0.0,0.0004356871359050274,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8220278707214738
2622912,Blur-Mid,453,1,True,8.572624258718827,453,0,0.4706395532294522,0.8763390336782053,0.9098838802032747,0.0005264933570288122,0.0007600809331052005,0.0004306395712774247,0.0003324785502627492,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8224369736289222
2557378,Blur-Max,453,1,True,8.573500469698857,453,0,0.40291731717729395,0.7618171504513357,0.8282048600322293,0.000827197334729135,0.0010980108054354787,0.0,0.0004452110733836889,0.0,0.0,453,full-scalar,503,2557378,F0,0.7405811687767729
2590144,Blur-Max,453,1,True,8.573500469698857,453,0,0.4038194313104002,0.7632593113359761,0.8291529810475388,0.0005385156255215406,0.00079540372826159,0.0004659653059206903,0.00033070004428736866,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.7423672338096148
2590146,Blur-Max,453,1,True,8.573500469698857,453,0,0.4028759052001278,0.7622052641552762,0.8285986450860149,0.0008464339189231396,0.0010835136054083705,0.0,0.00043987794197164476,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.7411056278619955
2622912,Blur-Max,453,1,True,8.573500469698857,453,0,0.40400623588233564,0.7635371809480603,0.8295156280951443,0.0005586945335380733,0.0008063953719101846,0.0004575111379381269,0.0003346206503920257,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.7428304195816996
2557378,Clean,453,2,True,8.524970950838286,453,0,0.5455814938316533,0.9557210906972631,0.9550169530344881,0.001003864104859531,0.0012439583661034703,0.0,0.0005713780410587788,0.0,0.0,453,full-scalar,503,2557378,F0,0.8703061207398853
2590144,Clean,453,2,True,8.524970950838286,453,0,0.5423689214896416,0.9550853492537554,0.9547758238711991,0.0029115797951817513,0.004497481044381857,0.0018134790007025003,0.0019829715602099895,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8689927096264156
2590146,Clean,453,2,True,8.524970950838286,453,0,0.5438091341783848,0.955787626416333,0.955060647818776,0.0011356179602444172,0.0013786954805254936,0.0,0.0006268787547014654,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8700379786119835
2622912,Clean,453,2,True,8.524970950838286,453,0,0.5422785612409016,0.9557883163226707,0.9552077311851525,0.0030020044650882483,0.004536907188594341,0.0017940883990377188,0.002000019419938326,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.869066730736607
2557378,Blur-Mid,453,2,True,8.525977008506729,453,0,0.47027561251994776,0.9104008679104857,0.9273088988469975,0.001683780807070434,0.0020799736957997084,0.0,0.00047269125934690237,0.0,0.0,453,full-scalar,503,2557378,F0,0.8302733782666999
2590144,Blur-Mid,453,2,True,8.525977008506729,453,0,0.46510848479702294,0.9039029656669129,0.9237105058912142,0.004923239350318909,0.007588779088109732,0.0030701961368322372,0.0016630060272291303,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8264066608388181
2590146,Blur-Mid,453,2,True,8.525977008506729,453,0,0.4677235035656025,0.9110760158137716,0.9277694598988814,0.0019234135979786515,0.0023084906861186028,0.0,0.0005197537248022854,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8299972244556135
