additional_params,condition,effective_frames,epoch,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_gate_channel_std,mean_gate_spatial_std,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,trainable_params,variant,wIoU
2622912,Blur-Mid,453,2,True,8.525977008506729,453,0,0.46459399530016504,0.9058729685278947,0.9249292415771629,0.005119322799146175,0.0076552946120500565,0.0030380242969840765,0.00167740136384964,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.826678744796559
2557378,Blur-Max,453,2,True,8.587650933747165,453,0,0.42508365022681194,0.8540484333871707,0.8905618255759137,0.0017818983178585768,0.0022004481870681047,0.0,0.00047493076999671757,0.0,0.0,453,full-scalar,503,2557378,F0,0.7896613663320756
2590144,Blur-Max,453,2,True,8.587650933747165,453,0,0.42120170966659415,0.8396810686590286,0.8808449471436978,0.005206394474953413,0.008022783324122429,0.0032450768630951643,0.0016808290965855122,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.7817422520619355
2590146,Blur-Max,453,2,True,8.587650933747165,453,0,0.42141003005821714,0.8559265621008035,0.8915042302113115,0.0020379500929266214,0.002441894495859742,0.0,0.0005227623041719198,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.789466806963834
2622912,Blur-Max,453,2,True,8.587650933747165,453,0,0.4197974813193705,0.8444711794700072,0.88409788265518,0.005421278532594442,0.008093072101473808,0.0032111231703311205,0.0016954264137893915,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.7835689016853729
2557378,Clean,453,3,True,8.483087604500337,453,0,0.5504698120823718,0.9556039415563977,0.9550143342265903,0.0012559830211102962,0.0016964462120085955,0.0,0.0006450489163398743,0.0,0.0,453,full-scalar,503,2557378,F0,0.8708547543738587
2590144,Clean,453,3,True,8.483087604500337,453,0,0.5471260403118354,0.9544368117045419,0.9541739726391115,0.0026828194968402386,0.005194631405174732,0.001995604485273361,0.0018540481105446815,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8700818850984182
2590146,Clean,453,3,True,8.483087604500337,453,0,0.5482134818292569,0.9556767936968218,0.955048349473777,0.0014338261680677533,0.001898318761959672,0.0,0.0007125571719370782,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8706560314320165
2622912,Clean,453,3,True,8.483087604500337,453,0,0.54645802021404,0.9552048903864748,0.9546818649375162,0.002789502264931798,0.005221272818744183,0.0019259240943938494,0.0018639176851138473,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8702524408773462
2557378,Blur-Mid,453,3,True,8.513520473108894,453,0,0.4758073701575728,0.9131413002974499,0.9282056283279858,0.002070088405162096,0.002786578144878149,0.0,0.0005244429339654744,0.0,0.0,453,full-scalar,503,2557378,F0,0.8312647419307659
2590144,Blur-Mid,453,3,True,8.513520473108894,453,0,0.4731425412938509,0.9092305129107238,0.9252766954226282,0.004431767854839563,0.00856234971433878,0.0032944707199931145,0.0015469957143068314,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.8302609453619845
2590146,Blur-Mid,453,3,True,8.513520473108894,453,0,0.47369519640599855,0.9125227983740629,0.9279277243433134,0.002385478699579835,0.003120069159194827,0.0,0.0005817671772092581,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.8309182417270725
2622912,Blur-Mid,453,3,True,8.513520473108894,453,0,0.4717920235128558,0.909666995398688,0.9259901507813895,0.004652693867683411,0.00860633049160242,0.0031797701958566904,0.0015549835516139865,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.8303583166473277
2557378,Blur-Max,453,3,True,8.512203453904577,453,0,0.43192565268827265,0.8568401684640403,0.8918856121065664,0.0021898681297898293,0.0029467761050909758,0.0,0.0005331000429578125,0.0,0.0,453,full-scalar,503,2557378,F0,0.7912949868182387
2590144,Blur-Max,453,3,True,8.512203453904577,453,0,0.4326552621716107,0.8496969104271954,0.885294057510493,0.004682518076151609,0.009045468643307686,0.0034789713099598885,0.0015830046031624079,0.0,0.0,453,full-channel-gate,503,2590144,F1,0.7900224819307814
2590146,Blur-Max,453,3,True,8.512203453904577,453,0,0.429494360828437,0.8563177810057458,0.8915563076509897,0.002526543103158474,0.0032988500315696,0.0,0.0005920950206927955,0.0,0.0,453,full-temporal-semantic,503,2590146,F2,0.7907915042952494
2622912,Blur-Max,453,3,True,8.512203453904577,453,0,0.4303433377949872,0.8512691875144337,0.8870912763084284,0.0049237278290092945,0.009091977961361408,0.003357751527801156,0.0015911490190774202,0.0,0.0,453,full-channel-temporal,503,2622912,F3,0.7902980075245275
