condition,effective_frames,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,wIoU
Clean,453,True,11.071025554371634,0,0,0.5460205668504299,0.9538707978839347,0.9538168029072457,,,0.0,0.0,453,old,503,0.871514421375126
Clean,453,True,11.071025554371634,0,0,0.5241961358065031,0.9443727744976546,0.9481249295530746,,,0.0,0.0,453,semantic-only,503,0.8571984487002003
Clean,453,True,11.071025554371634,453,0,0.5534220616715219,0.9544079453166546,0.9546596039197676,0.0016089611453935504,0.0030169107485562563,0.0,0.0,453,full,503,0.8711013447788004
Blur-Mid,453,True,11.074763073061904,0,0,0.4828553845967469,0.8908505426721581,0.9154665143533017,,,0.0,0.0,453,old,503,0.8284488447564854
Blur-Mid,453,True,11.074763073061904,0,0,0.4341738799000869,0.8918371293702723,0.9151935589505311,,,0.0,0.0,453,semantic-only,503,0.8160938525605133
Blur-Mid,453,True,11.074763073061904,453,0,0.4822076200648392,0.9105678181750474,0.925921563072497,0.0024189723189920187,0.004531710408627987,0.0,0.0,453,full,503,0.8318113174533728
Blur-Max,453,True,10.895001827793994,0,0,0.4342578600495162,0.8065759765237229,0.8590206221478618,,,0.0,0.0,453,old,503,0.7727305691918478
Blur-Max,453,True,10.895001827793994,0,0,0.4172803460549245,0.8271127866127714,0.871194165145782,,,0.0,0.0,453,semantic-only,503,0.7652616419096655
Blur-Max,453,True,10.895001827793994,453,0,0.44109748171406093,0.8524446895959447,0.8882732415362009,0.0024942406453192234,0.004672834649682045,0.0,0.0,453,full,503,0.7911050539033431
