condition,effective_frames,finite,fps,gate_frames,loss_frames,mIoU,mVC16,mVC8,mean_abs_delta,mean_gate,mean_loss,mean_temporal_loss,metric_frames,model,total_sequence_frames,wIoU
Clean,453,True,11.49184700191336,0,0,0.5459461064125445,0.9538530183912798,0.9538029393747947,,,0.0,0.0,453,old,503,0.8714962709230233
Clean,453,True,11.49184700191336,0,0,0.5185437216026121,0.937799224489135,0.9430188337873932,,,0.0,0.0,453,semantic-only,503,0.8529782841400093
Clean,453,True,11.49184700191336,453,0,0.5492830914599982,0.9555393039584752,0.9549423471288576,0.0012082929024472833,0.002362384693697095,0.0,0.0,453,full,503,0.8710211197103584
Blur-Mid,453,True,11.45503529211381,0,0,0.48276988048155645,0.8908403791338936,0.9154548137934103,,,0.0,0.0,453,old,503,0.8284248665370915
Blur-Mid,453,True,11.45503529211381,0,0,0.4436403709010125,0.8815277778722456,0.9098501724917597,,,0.0,0.0,453,semantic-only,503,0.8103785117205468
Blur-Mid,453,True,11.45503529211381,453,0,0.47682215972744557,0.9133312885345236,0.9277335503131908,0.001997606363147497,0.0038959805388003588,0.0,0.0,453,full,503,0.8321974175678926
Blur-Max,453,True,11.12614334477047,0,0,0.43421977022440267,0.8066117326397126,0.8590363615620157,,,0.0,0.0,453,old,503,0.7727339125564049
Blur-Max,453,True,11.12614334477047,0,0,0.4037960760420592,0.8158756678074565,0.8628573194087201,,,0.0,0.0,453,semantic-only,503,0.7539640000694223
Blur-Max,453,True,11.12614334477047,453,0,0.432093395335352,0.8571043533968279,0.891965407940912,0.002106370870023966,0.0041072312742471695,0.0,0.0,453,full,503,0.7926676632548741
