condition,future_feature_stage,target_flow_top_stage,prediction_feature_channels,prediction_feature_height,prediction_feature_width,split,drive,sample_index,current_raw_frame_index,future_raw_frame_index,current_frame_name,future_frame_name,horizon_frames,horizon_seconds,temporal_fusion_applied,alignment_applied,feature_mse,feature_cosine,normalized_feature_error,copy_mse,copy_cosine,copy_normalized_feature_error,mse_improvement_vs_same_stage_copy,relative_mse_improvement_vs_same_stage_copy,cosine_improvement_vs_same_stage_copy,normalized_error_improvement_vs_same_stage_copy,raw_previous_to_current_mse,aligned_previous_to_current_mse,alignment_mse_reduction_fraction,alignment_patch_matching_mse,nonzero_motion_fraction,mean_motion_magnitude_cells,prediction_base_current_max_abs,aligned_temporal_difference_rms,predicted_residual_rms
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,0,0,1,0000000000.png,0000000001.png,1,0.1035,False,False,1.4533734321594238,0.686790943145752,0.7677587270736694,1.5340720415115356,0.690823495388031,0.7887856960296631,0.08069860935211182,0.0526041849198938,-0.004032552242279053,0.021026968955993652,,,,,,,0.0,0.0,0.24777759743965705
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,1,1,2,0000000001.png,0000000002.png,1,0.1035,False,True,1.7075175046920776,0.635797381401062,0.820360541343689,1.800865888595581,0.6400964260101318,0.8424863815307617,0.09334838390350342,0.05183527795970519,-0.004299044609069824,0.022125840187072754,1.5340720415115356,0.8871404528617859,0.42170874062232566,0.7939566373825073,0.7716836333274841,0.7811936736106873,0.0,0.9418813369325172,0.2754773754082888
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,2,2,3,0000000002.png,0000000003.png,1,0.1035,False,True,1.5863831043243408,0.642532229423523,0.8349372744560242,1.7199071645736694,0.6435924172401428,0.8693652749061584,0.1335240602493286,0.07763445783565101,-0.001060187816619873,0.03442800045013428,1.800865888595581,1.0008189678192139,0.4442568021543736,0.9258987903594971,0.8647959232330322,1.0037477016448975,0.0,1.0004094001053838,0.2918388831809845
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,3,3,4,0000000003.png,0000000004.png,1,0.1035,False,True,1.3391926288604736,0.670475959777832,0.7972579598426819,1.4421732425689697,0.6714245676994324,0.8273438811302185,0.1029806137084961,0.07140654858153854,-0.0009486079216003418,0.03008592128753662,1.7199071645736694,1.032719373703003,0.39954935070056913,0.9339884519577026,0.8099489808082581,0.8928973078727722,0.0,1.0162280126541499,0.2741671635938236
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,4,4,5,0000000004.png,0000000005.png,1,0.1035,False,True,1.3028279542922974,0.6644831895828247,0.7960453629493713,1.39414381980896,0.6651486158370972,0.8234705924987793,0.0913158655166626,0.06549960213514819,-0.0006654262542724609,0.02742522954940796,1.4421732425689697,0.7802407145500183,0.4589826717626787,0.6692450046539307,0.7653061151504517,0.79172283411026,0.0,0.8833123538986751,0.25731401224180744
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,5,5,6,0000000005.png,0000000006.png,1,0.1035,False,True,1.111992359161377,0.7142202258110046,0.7292233109474182,1.173855185508728,0.7169694900512695,0.7492330074310303,0.061862826347351074,0.05270056060666531,-0.0027492642402648926,0.02000969648361206,1.39414381980896,0.7731157541275024,0.4454548066400762,0.6804624795913696,0.8405612111091614,0.8786013126373291,0.0,0.8792700120710943,0.2555199621356513
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,6,6,7,0000000006.png,0000000007.png,1,0.1035,False,True,1.2034231424331665,0.6972241997718811,0.7492806911468506,1.2768465280532837,0.6985304355621338,0.7717999219894409,0.07342338562011719,0.05750368897667017,-0.0013062357902526855,0.022519230842590332,1.173855185508728,0.7262946963310242,0.38127402315281256,0.6533488035202026,0.7806122303009033,0.7996322512626648,0.0,0.8522292510416574,0.2540351100529344
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,7,7,8,0000000007.png,0000000008.png,1,0.1035,False,True,1.266171932220459,0.6928551197052002,0.752238392829895,1.3481035232543945,0.6924524307250977,0.7761948108673096,0.08193159103393555,0.060775444630652896,0.00040268898010253906,0.02395641803741455,1.2768465280532837,0.7836831212043762,0.3862354605770815,0.700462818145752,0.7665815949440002,0.7903566956520081,0.0,0.8852587877024302,0.25932472500103865
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,8,8,9,0000000008.png,0000000009.png,1,0.1035,False,True,1.23308527469635,0.7194128036499023,0.716717541217804,1.2860767841339111,0.7231590747833252,0.731955885887146,0.052991509437561035,0.04120400126283857,-0.0037462711334228516,0.015238344669342041,1.3481035232543945,0.8460341095924377,0.37242645316283585,0.7337512373924255,0.7742346525192261,0.8106896281242371,0.0,0.919801125022381,0.26094651520739903
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,9,9,10,0000000009.png,0000000010.png,1,0.1035,False,True,1.3135699033737183,0.7118582725524902,0.7299574017524719,1.3911842107772827,0.7141472101211548,0.7512132525444031,0.07761430740356445,0.05579010083804773,-0.0022889375686645508,0.021255850791931152,1.2860767841339111,0.8087698817253113,0.371134063142299,0.7168223857879639,0.71683669090271,0.7453667521476746,0.0,0.8993163412978279,0.2757591865510289
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,10,10,11,0000000010.png,0000000011.png,1,0.1035,False,True,1.2614423036575317,0.7129117250442505,0.7446002960205078,1.3585790395736694,0.7139805555343628,0.7727373838424683,0.0971367359161377,0.07149877415054173,-0.0010688304901123047,0.02813708782196045,1.3911842107772827,0.899201512336731,0.35364310105681196,0.8262332081794739,0.7270408272743225,0.7555708289146423,0.0,0.948262364715974,0.2745843270871863
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,11,11,12,0000000011.png,0000000012.png,1,0.1035,False,True,1.2837209701538086,0.6930161714553833,0.7635402679443359,1.3720512390136719,0.6936367750167847,0.7893721461296082,0.08833026885986328,0.0643782581497185,-0.0006206035614013672,0.025831878185272217,1.3585790395736694,0.8799457550048828,0.3523043346222865,0.7832154035568237,0.7244898080825806,0.7255464792251587,0.0,0.9380542388395688,0.26170492847442306
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,12,12,13,0000000012.png,0000000013.png,1,0.1035,False,True,1.3229278326034546,0.6759302020072937,0.7821673154830933,1.4135358333587646,0.6761454939842224,0.8085092902183533,0.09060800075531006,0.0641002503205118,-0.00021529197692871094,0.02634197473526001,1.3720512390136719,0.9759759306907654,0.2886738461805797,0.8884347081184387,0.7117346525192261,0.7265280485153198,0.0,0.987914941020109,0.2639263479237573
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,13,13,14,0000000013.png,0000000014.png,1,0.1035,False,True,1.2537237405776978,0.704529881477356,0.7360798120498657,1.3160353899002075,0.7064070701599121,0.7541500926017761,0.062311649322509766,0.047348004317144345,-0.0018771886825561523,0.0180702805519104,1.4135358333587646,0.9276934266090393,0.34370717408365503,0.8282389044761658,0.7614795565605164,0.7662345767021179,0.0,0.9631684310695816,0.25848215005734854
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,14,14,15,0000000014.png,0000000015.png,1,0.1035,False,True,1.2769485712051392,0.7043012976646423,0.745698094367981,1.3586399555206299,0.7053110003471375,0.7691808938980103,0.08169138431549072,0.060127323639754614,-0.0010097026824951172,0.023482799530029297,1.3160353899002075,0.8782781362533569,0.3326333448221669,0.7967972755432129,0.7206632494926453,0.7359849214553833,0.0,0.9371649461292056,0.26839554666453863
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,15,15,16,0000000015.png,0000000016.png,1,0.1035,False,True,1.3697624206542969,0.6933078765869141,0.7511082291603088,1.442829966545105,0.6948667764663696,0.7708811163902283,0.0730675458908081,0.050641827231915834,-0.0015588998794555664,0.019772887229919434,1.3586399555206299,0.8406611680984497,0.3812480159423039,0.7903812527656555,0.7295918464660645,0.7332901954650879,0.0,0.9168757648113782,0.2641325000098887
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,16,16,17,0000000016.png,0000000017.png,1,0.1035,False,True,1.3737472295761108,0.7025952935218811,0.7418727874755859,1.464154839515686,0.7027148008346558,0.7658955454826355,0.0904076099395752,0.061747301241363434,-0.0001195073127746582,0.02402275800704956,1.442829966545105,1.0354909896850586,0.28231945988440377,0.9486887454986572,0.71683669090271,0.7194783687591553,0.0,1.01759077712264,0.2852105911942011
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,17,17,18,0000000017.png,0000000018.png,1,0.1035,False,True,1.6352027654647827,0.6539698839187622,0.8022138476371765,1.7269881963729858,0.6571616530418396,0.8244209885597229,0.09178543090820312,0.05314768861823754,-0.0031917691230773926,0.022207140922546387,1.464154839515686,1.094718098640442,0.2523208139635331,0.9958178997039795,0.670918345451355,0.7168834209442139,0.0,1.0462877704725606,0.28016450473008747
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,18,18,19,0000000018.png,0000000019.png,1,0.1035,False,True,1.6792118549346924,0.6538248062133789,0.8005894422531128,1.7713786363601685,0.656841516494751,0.8222669363021851,0.09216678142547607,0.052031101388272646,-0.0030167102813720703,0.021677494049072266,1.7269881963729858,1.2049199342727661,0.3022998438534007,1.1187167167663574,0.7818877100944519,0.8875544667243958,0.0,1.0976884504597677,0.28490440796263644
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,19,19,20,0000000019.png,0000000020.png,1,0.1035,False,True,1.6447538137435913,0.675126850605011,0.7728707194328308,1.731906771659851,0.6778994798660278,0.7930830121040344,0.08715295791625977,0.05032196844679624,-0.0027726292610168457,0.020212292671203613,1.7713786363601685,1.301231861114502,0.26541291940368256,1.1956827640533447,0.77933669090271,0.8559451103210449,0.0,1.1407155040212709,0.2948159665560392
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,20,20,21,0000000020.png,0000000021.png,1,0.1035,False,True,1.5232442617416382,0.703545093536377,0.7462930083274841,1.621654987335205,0.7045383453369141,0.7700232267379761,0.0984107255935669,0.06068536548287681,-0.0009932518005371094,0.023730218410491943,1.731906771659851,1.2516759634017944,0.2772844451654899,1.144808053970337,0.6390305757522583,0.660163938999176,0.0,1.1187832513055398,0.297039337850763
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,21,21,22,0000000021.png,0000000022.png,1,0.1035,False,True,1.6752698421478271,0.6753360033035278,0.7791311740875244,1.7772263288497925,0.6765614151954651,0.8024898767471313,0.10195648670196533,0.05736831884994119,-0.0012254118919372559,0.023358702659606934,1.621654987335205,1.1235195398330688,0.30717720562787554,1.0307191610336304,0.6900510191917419,0.6911076903343201,0.0,1.0599620464116009,0.2898021976679183
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,22,22,23,0000000022.png,0000000023.png,1,0.1035,False,True,1.718232274055481,0.6696822643280029,0.7864877581596375,1.822519063949585,0.6708799600601196,0.8100038766860962,0.104286789894104,0.05722123403642422,-0.0011976957321166992,0.02351611852645874,1.7772263288497925,1.307908058166504,0.2640734402055746,1.2126635313034058,0.7002550959587097,0.7319550514221191,0.0,1.1436380800613908,0.29386624511665005
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,23,23,24,0000000023.png,0000000024.png,1,0.1035,False,True,1.7209484577178955,0.6803190112113953,0.7685095071792603,1.8096733093261719,0.6822422742843628,0.7880710959434509,0.08872485160827637,0.04902810421695001,-0.0019232630729675293,0.019561588764190674,1.822519063949585,1.248462200164795,0.3149798952120425,1.1252061128616333,0.7117346525192261,0.7180746793746948,0.0,1.117346052109549,0.29079539010966926
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,24,24,25,0000000024.png,0000000025.png,1,0.1035,False,True,1.9089397192001343,0.6795727014541626,0.7585437297821045,1.9904673099517822,0.6820138692855835,0.774572491645813,0.08152759075164795,0.040959020197936784,-0.0024411678314208984,0.016028761863708496,1.8096733093261719,1.2662582397460938,0.30028351900842126,1.1721608638763428,0.6836734414100647,0.6942400932312012,0.0,1.125281404692219,0.3005170652769248
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,25,25,26,0000000025.png,0000000026.png,1,0.1035,False,True,2.4456517696380615,0.6026836633682251,0.863513171672821,2.615009069442749,0.6036476492881775,0.8929111361503601,0.1693572998046875,0.06476356116071791,-0.0009639859199523926,0.029397964477539062,1.9904673099517822,1.4600658416748047,0.26647082603422717,1.333017110824585,0.6390305757522583,0.6480122804641724,0.0,1.2083318425311835,0.32578464753279807
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,26,26,27,0000000026.png,0000000027.png,1,0.1035,False,True,2.3668100833892822,0.6242807507514954,0.8330947160720825,2.5064496994018555,0.6254642009735107,0.8573184609413147,0.13963961601257324,0.05571211584493283,-0.0011834502220153809,0.024223744869232178,2.615009069442749,1.7967983484268188,0.3128902039296898,1.7075965404510498,0.793367326259613,0.9143557548522949,0.0,1.3404470703563116,0.3262108648147292
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,27,27,28,0000000027.png,0000000028.png,1,0.1035,False,True,2.0856516361236572,0.6752079129219055,0.7796318531036377,2.1981735229492188,0.6787028312683105,0.800386369228363,0.11252188682556152,0.05118881000558797,-0.0034949183464050293,0.020754516124725342,2.5064496994018555,1.786317229270935,0.28731175826220423,1.6982362270355225,0.6887754797935486,0.7268155217170715,0.0,1.336531791343152,0.331617535168129
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,28,28,29,0000000028.png,0000000029.png,1,0.1035,False,True,2.103041887283325,0.6707445383071899,0.7876577973365784,2.2468621730804443,0.6706146597862244,0.8141452074050903,0.14382028579711914,0.06400939386501922,0.00012987852096557617,0.026487410068511963,2.1981735229492188,1.5669257640838623,0.2871692122005144,1.512921690940857,0.6568877696990967,0.6706243753433228,0.0,1.2517690538129875,0.3305086792615628
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,29,29,30,0000000029.png,0000000030.png,1,0.1035,False,True,2.0841312408447266,0.6642886400222778,0.8002562522888184,2.2303085327148438,0.6644585132598877,0.8278449773788452,0.1461772918701172,0.06554128710263366,-0.00016987323760986328,0.027588725090026855,2.2468621730804443,1.5698379278182983,0.3013198821777069,1.5205435752868652,0.6632652878761292,0.685455322265625,0.0,1.2529317331037229,0.32475865462813247
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,30,30,31,0000000030.png,0000000031.png,1,0.1035,False,True,2.227322816848755,0.6396400928497314,0.8191046714782715,2.3832390308380127,0.637512743473053,0.8472890853881836,0.1559162139892578,0.06542197906788785,0.002127349376678467,0.02818441390991211,2.2303085327148438,1.553328514099121,0.3035364877484769,1.4813867807388306,0.6658163070678711,0.6774396300315857,0.0,1.2463260063479062,0.3202324278698533
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,31,31,32,0000000031.png,0000000032.png,1,0.1035,False,True,2.2631540298461914,0.6406201124191284,0.8183132410049438,2.4093422889709473,0.6403909921646118,0.8443291187286377,0.14618825912475586,0.06067558760494518,0.00022912025451660156,0.026015877723693848,2.3832390308380127,1.526078462600708,0.35966202178885237,1.4386394023895264,0.7219387888908386,0.7472987771034241,0.0,1.2353454830939836,0.3207863350087528
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,32,32,33,0000000032.png,0000000033.png,1,0.1035,False,True,2.3430545330047607,0.6435601711273193,0.8089137077331543,2.4836010932922363,0.6434528231620789,0.8328215479850769,0.14054656028747559,0.056589828643201515,0.00010734796524047852,0.023907840251922607,2.4093422889709473,1.48503577709198,0.3836343703051621,1.4148540496826172,0.7372449040412903,0.7541516423225403,0.0,1.2186204401256282,0.32421106306408354
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,33,33,34,0000000033.png,0000000034.png,1,0.1035,False,True,2.2811262607574463,0.6538496017456055,0.809738039970398,2.4425840377807617,0.6540845632553101,0.837904691696167,0.16145777702331543,0.06610121679580358,-0.00023496150970458984,0.028166651725769043,2.4836010932922363,1.5540789365768433,0.3742638700014534,1.484484314918518,0.7181122303009033,0.7323771715164185,0.0,1.2466270238434762,0.3384124607111944
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,34,34,35,0000000034.png,0000000035.png,1,0.1035,False,True,2.5876078605651855,0.6202074289321899,0.831694483757019,2.7357747554779053,0.6214873790740967,0.8551745414733887,0.14816689491271973,0.05415902556160434,-0.0012799501419067383,0.02348005771636963,2.4425840377807617,1.6121561527252197,0.33997924829232773,1.5287266969680786,0.6352040767669678,0.6399590969085693,0.0,1.2697071129694515,0.3352506957996325
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,35,35,36,0000000035.png,0000000036.png,1,0.1035,False,True,2.714994430541992,0.6128619909286499,0.849454402923584,2.9004080295562744,0.6134599447250366,0.8779810667037964,0.18541359901428223,0.06392672931699481,-0.0005979537963867188,0.028526663780212402,2.7357747554779053,1.9399768114089966,0.29088576918675924,1.8407471179962158,0.7066326141357422,0.7193126678466797,0.0,1.3928305034744883,0.3526409033772921
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,36,36,37,0000000036.png,0000000037.png,1,0.1035,False,True,2.5257577896118164,0.6405321955680847,0.8201400637626648,2.6975271701812744,0.6411747932434082,0.8475690484046936,0.171769380569458,0.06367660814252894,-0.0006425976753234863,0.02742898464202881,2.9004080295562744,1.9420121908187866,0.3304348315723392,1.811834692955017,0.714285671710968,0.7301356792449951,0.0,1.3935609749195714,0.3543666060191946
aligned_temporal_difference,4,5,512,28,28,train,2011_09_26/2011_09_26_drive_0005_sync,37,37,38,0000000037.png,0000000038.png,1,0.1035,False,True,2.4634928703308105,0.6470659971237183,0.8150586485862732,2.6168406009674072,0.6493866443634033,0.8400436043739319,0.15334773063659668,0.05860033300458052,-0.0023206472396850586,0.02498495578765869,2.6975271701812744,1.6987189054489136,0.370268101753815,1.566649317741394,0.7206632494926453,0.7328149080276489,0.0,1.303349111116785,0.3422734888458161
