condition,drive,frame_offset,phase,phase_frame_index,raw_frame_index,frame_name,layer,instantaneous_prediction_error_rms,dynamic_error_rms,next_frame_prediction_mse,representation_normalized_l2
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,4,2.1352966099667094,1.2050656771159107,11.060808181762695,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,2,baseline,2,2,0000000002.png,5,0.9889581560546575,0.5503498143033305,2.0063626766204834,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,1,0.9616522215256454,0.3683071286590303,1.4146994352340698,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,2,0.5339349418692427,0.2957218850989386,2.3375015258789062,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,3,1.0041780385323322,0.7714647502581775,7.1558990478515625,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,4,1.8478337116543377,1.3304300931798587,11.078797340393066,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,3,baseline,3,3,0000000003.png,5,0.8876626246370944,0.6175996483446297,2.0071046352386475,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,1,0.9610503754746563,0.432647041237058,1.3530582189559937,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,2,0.5524273067512573,0.3300516714941652,2.1517348289489746,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,3,0.847947727460402,0.7727086505663748,6.792407035827637,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,4,1.5936503023673803,1.3720304749150425,10.639471054077148,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,4,baseline,4,4,0000000004.png,5,0.7966982818714698,0.6494968233345729,1.8753459453582764,0.0
current_stateful,2011_09_26/2011_09_26_drive_0011_sync,5,baseline,5,5,0000000005.png,1,0.9430571961449792,0.48126840503851787,1.0786261558532715,0.0
